char_id,gender,age,group,fat_score,muscle_score,height_score,chest_height_score,hip_length_score,thigh_length_score,lower_leg_length_score,upper_arm_length_score,forearm_length_score,neck_length_score,height_cm_x,training_pattern,hip_score,waist_def_score,somatotype,height_cm_y,neck_circ_cm,chest_circ_cm,waist_circ_cm,hip_circ_cm,mid_thigh_circ_cm,calf_circ_cm,bicep_circ_cm,elbow_circ_cm,forearm_circ_cm,wrist_circ_cm,upper_arm_length_cm,forearm_length_cm,total_arm_length_cm,upper_leg_length_cm,lower_leg_length_cm,total_leg_length_cm
char_00033,female,16,underweight,0.0542,0.1112,0.2978,0.5296,0.3276,0.3159,0.4092,0.5894,0.6159,0.4283,,balanced,0.8447,0.6182,pear,154.15,31.23,93.43,76.5,92.18,48.92,26.87,26.7,22.41,20.03,14.05,21.97,20.65,42.62,34.2,36.38,70.57
char_00073,female,29,overweight,0.477,0.2915,0.425,0.5714,0.3977,0.2714,0.4534,0.3587,0.4757,0.3471,,balanced,0.2964,0.8663,v_shape,168.97,44.58,132.95,124.78,137.65,74.88,40.08,36.6,30.7,27.59,17.96,23.28,22.7,45.98,39.46,42.9,82.36
char_00165,female,24,obese,0.7346,0.2464,0.294,0.3526,0.5611,0.4944,0.4745,0.6526,0.5031,0.3926,,balanced,0.5804,0.8257,rectangle,154.62,49.88,129.9,156.66,173.75,94.16,44.48,46.24,35.71,30.04,19.64,22.49,19.8,42.29,36.57,37.14,73.7
char_00199,female,16,normal,0.2585,0.1463,0.3398,0.6303,0.765,0.6317,0.7505,0.6348,0.5584,0.8,,balanced,0.2614,0.8632,v_shape,167.19,37.54,102.84,100.84,114.13,63.56,35.35,31.21,26.29,22.82,15.81,23.43,21.28,44.71,40.52,43.11,83.62
char_00216,female,19,underweight,0.0687,0.0835,0.2957,0.6616,0.6525,0.3767,0.4352,0.5709,0.4709,0.3616,,balanced,0.6711,0.3265,pear,156.74,31.64,99.44,79.44,92.48,49.28,27.0,25.83,21.87,18.66,13.75,21.64,19.58,41.22,34.94,36.65,71.59
char_00240,female,18,normal,0.3053,0.196,0.2541,0.5078,0.2754,0.2794,0.3418,0.5754,0.4199,0.4622,,balanced,0.8733,0.8177,pear,148.38,39.21,116.75,109.3,125.98,68.47,34.71,36.21,28.56,24.53,16.47,20.61,18.26,38.87,31.79,33.41,65.19
char_00332,female,29,normal,0.3275,0.1268,0.3797,0.6018,0.6279,0.4636,0.3874,0.3279,0.3295,0.4618,,balanced,0.8044,0.8819,pear,166.05,39.63,120.55,111.8,128.95,70.74,35.0,31.03,26.83,23.58,16.29,21.88,20.59,42.47,40.05,39.94,79.98
char_00374,female,34,obese,0.83,0.2337,0.2972,0.6058,0.6313,0.7127,0.7072,0.5731,0.4262,0.7262,,balanced,0.3135,0.2574,apple,163.48,53.47,143.84,167.62,182.89,98.86,47.75,44.35,35.57,29.64,19.9,21.82,19.33,41.15,39.71,40.55,80.25
char_00419,female,31,overweight,0.5454,0.2457,0.2975,0.6035,0.5388,0.6912,0.4217,0.3912,0.4419,0.6634,,balanced,0.8126,0.6475,pear,160.01,45.67,130.96,137.81,157.24,86.07,39.34,36.17,30.56,26.66,17.98,20.41,19.42,39.83,39.41,36.63,76.03
char_00473,female,22,overweight,0.5,0.2459,0.2955,0.5201,0.2201,0.497,0.3105,0.4859,0.4399,0.4334,,balanced,0.7885,0.2685,apple,155.4,44.56,130.71,133.84,151.25,82.24,38.46,39.27,31.42,27.2,17.95,21.0,19.37,40.37,36.64,34.96,71.59
