char_id,gender,fat_score,muscle_score,hip_score,waist_def_score,height_score,shoulder_w,waist_w,hip_w,hip_over_shoulder,waist_over_hip,waist_over_shoulder,chest_circ_cm,waist_circ_cm,hip_circ_cm
char_00033,female,0.0542,0.1112,0.8447,0.6182,0.2978,0.291,0.1309,0.1934,0.6644,0.6768,0.4497,93.43,76.5,92.18
char_00073,female,0.477,0.2915,0.2964,0.8663,0.425,0.3301,0.2012,0.2324,0.7041,0.8655,0.6095,132.95,124.78,137.65
char_00165,female,0.7346,0.2464,0.5804,0.8257,0.294,0.3262,0.2754,0.3066,0.9401,0.8981,0.8443,129.9,156.66,173.75
char_00199,female,0.2585,0.1463,0.2614,0.8632,0.3398,0.3262,0.166,0.2051,0.6287,0.8095,0.509,102.84,100.84,114.13
char_00216,female,0.0687,0.0835,0.6711,0.3265,0.2957,0.291,0.1387,0.1895,0.651,0.732,0.4765,99.44,79.44,92.48
char_00240,female,0.3053,0.196,0.8733,0.8177,0.2541,0.3066,0.1895,0.252,0.8217,0.7519,0.6178,116.75,109.3,125.98
char_00332,female,0.3275,0.1268,0.8044,0.8819,0.3797,0.3184,0.1738,0.2285,0.7178,0.7607,0.546,120.55,111.8,128.95
char_00374,female,0.83,0.2337,0.3135,0.2574,0.2972,0.3301,0.2715,0.2988,0.9053,0.9085,0.8225,143.84,167.62,182.89
char_00419,female,0.5454,0.2457,0.8126,0.6475,0.2975,0.3145,0.2168,0.2793,0.8882,0.7762,0.6894,130.96,137.81,157.24
char_00473,female,0.5,0.2459,0.7885,0.2685,0.2955,0.3184,0.2188,0.2754,0.865,0.7943,0.6871,130.71,133.84,151.25
char_00487,female,0.0753,0.5591,0.3752,0.8423,0.2952,0.291,0.1426,0.209,0.7181,0.6822,0.4899,102.21,82.38,98.72
char_00526,female,0.9469,0.3352,0.5585,0.3474,0.2801,0.3301,0.3066,0.3457,1.0473,0.887,0.929,283.26,183.92,200.39
char_00539,female,0.9034,0.2765,0.5409,0.3667,0.2917,0.3379,0.291,0.3184,0.9422,0.9141,0.8613,70.67,178.75,196.13
char_00596,female,0.7594,0.2179,0.6373,0.8332,0.3653,0.3262,0.2676,0.2988,0.9162,0.8954,0.8204,135.9,159.72,177.71
char_00647,female,0.1322,0.5633,0.4223,0.7903,0.2953,0.2988,0.1543,0.2168,0.7255,0.7117,0.5163,105.54,90.06,105.09
char_00659,female,0.0787,0.4551,0.2693,0.6473,0.3667,0.332,0.127,0.1777,0.5353,0.7143,0.3824,102.2,82.24,97.83
char_00667,female,0.5753,0.2494,0.819,0.5245,0.2861,0.3066,0.2402,0.2871,0.9363,0.8367,0.7834,122.39,141.52,157.05
char_00721,female,0.2122,0.2279,0.5711,0.8894,0.3218,0.3184,0.1621,0.2168,0.681,0.7477,0.5092,114.62,97.9,115.0
char_00762,female,0.5589,0.2286,0.2777,0.404,0.2976,0.3145,0.2246,0.2676,0.8509,0.8394,0.7143,126.25,135.59,149.08
char_00764,female,0.9227,0.2044,0.3232,0.7961,0.2885,0.3223,0.3066,0.334,1.0364,0.9181,0.9515,142.74,175.74,192.11
char_00797,female,0.8049,0.2067,0.5332,0.3252,0.2953,0.3223,0.2793,0.3145,0.9758,0.8882,0.8667,141.47,166.74,182.05
char_00811,female,0.9323,0.2754,0.5301,0.8271,0.2847,0.334,0.2871,0.3262,0.9766,0.8802,0.8596,282.91,179.72,196.48
char_00856,female,0.9578,0.2621,0.4418,0.4731,0.279,0.3262,0.2949,0.3457,1.0599,0.8531,0.9042,285.52,183.23,199.22
char_00884,female,0.7432,0.1885,0.419,0.2303,0.3986,0.3262,0.2578,0.2988,0.9162,0.8627,0.7904,142.05,158.76,174.89
char_00914,female,0.1295,0.9396,0.4535,0.8729,0.3158,0.3203,0.1621,0.2168,0.6768,0.7477,0.5061,99.5,93.81,113.17
char_00952,female,0.1093,0.5334,0.6738,0.8246,0.295,0.3184,0.1426,0.2051,0.6442,0.6952,0.4479,107.68,88.58,107.08
char_00958,female,0.0709,0.1288,0.2271,0.8353,0.2453,0.2793,0.1348,0.1934,0.6923,0.697,0.4825,96.02,76.47,89.46
char_00969,female,0.4129,0.2699,0.665,0.2627,0.299,0.3184,0.209,0.2598,0.816,0.8045,0.6564,118.84,123.19,140.2
char_01019,female,0.4854,0.3058,0.4616,0.2861,0.2937,0.3184,0.2285,0.2676,0.8405,0.854,0.7178,120.85,130.2,143.83
char_01049,female,0.2417,0.2087,0.6424,0.745,0.2944,0.3262,0.1777,0.2207,0.6766,0.8053,0.5449,96.14,102.17,119.39
char_01125,female,0.6182,0.2184,0.6077,0.4817,0.2925,0.3223,0.2285,0.2793,0.8667,0.8182,0.7091,134.23,145.14,162.48
char_01132,female,0.0971,0.7708,0.871,0.8241,0.3029,0.3105,0.1621,0.2168,0.6981,0.7477,0.522,94.36,89.19,107.22
char_01155,female,0.811,0.2201,0.7642,0.6399,0.3028,0.3262,0.2832,0.3301,1.012,0.858,0.8683,143.91,168.06,184.56
char_01168,female,0.7237,0.3021,0.6968,0.587,0.299,0.3105,0.2559,0.3145,1.0126,0.8137,0.8239,142.23,158.44,176.0
char_01180,female,0.5484,0.268,0.4235,0.2384,0.2942,0.3262,0.2285,0.2676,0.8204,0.854,0.7006,126.06,136.56,151.17
char_01208,female,0.6971,0.1717,0.5495,0.7733,0.2878,0.3145,0.2441,0.2949,0.9379,0.8278,0.7764,146.2,151.72,167.39
char_01264,female,0.8499,0.2589,0.3582,0.5305,0.3052,0.3145,0.2832,0.3184,1.0124,0.8896,0.9006,140.66,169.16,182.74
char_01283,female,0.5052,0.2455,0.7235,0.6297,0.2966,0.3105,0.2168,0.2676,0.8616,0.8102,0.6981,130.79,132.53,147.59
char_01284,female,0.8938,0.2441,0.5866,0.7002,0.2384,0.3066,0.2949,0.3652,1.1911,0.8075,0.9618,147.55,176.19,194.05
char_01302,female,0.0964,0.5356,0.747,0.5101,0.295,0.3105,0.1426,0.2051,0.6604,0.6952,0.4591,103.4,87.18,105.92
char_01307,female,0.3199,0.1677,0.4854,0.5054,0.2954,0.3184,0.1934,0.2363,0.7423,0.8182,0.6074,100.74,109.6,123.56
char_01345,female,0.5161,0.202,0.2597,0.6282,0.2954,0.3184,0.2246,0.2637,0.8282,0.8519,0.7055,117.36,129.8,145.09
