
========== KATEGORİ: Actor Parts ==========
UI İsmi: Eyeball Iris Flatten  |  Kod ID: 2018-07-18-15-33-30_eyeball iris flatten  |  Range: [1.0, 0.0]
UI İsmi: Top Teeth Length  |  Kod ID: cc embed morphs/embed_teeth2  |  Range: [1.0, 0.0]
UI İsmi: Bottom Teeth Length  |  Kod ID: cc embed morphs/embed_teeth1  |  Range: [1.0, 0.0]
UI İsmi: Gap Between Teeth  |  Kod ID: cc embed morphs/embed_teeth3  |  Range: [1.0, 0.0]
UI İsmi: Age21-LumiSato_Eyeball  |  Kod ID: 2025-08-20-11-26-23_age21-lumisato_eyeball  |  Range: [1.0, 0.0]
UI İsmi: Age21-LumiSato_Teeth  |  Kod ID: 2025-08-20-11-26-28_age21-lumisato_teeth  |  Range: [1.0, 0.0]
UI İsmi: Age22-NiaYoung_Eyeball  |  Kod ID: 2025-08-20-11-24-11_age22-niayoung_eyeball  |  Range: [1.0, 0.0]
UI İsmi: Age22-NiaYoung_Teeth  |  Kod ID: 2025-08-20-11-24-16_age22-niayoung_teeth  |  Range: [1.0, 0.0]
UI İsmi: Age24-OmariBennett_Eyeball  |  Kod ID: 2025-08-20-11-30-41_age24-omaribennett_eyeball  |  Range: [1.0, 0.0]
UI İsmi: Age24-OmariBennett_Teeth  |  Kod ID: 2025-08-20-11-30-46_age24-omaribennett_teeth  |  Range: [1.0, 0.0]
UI İsmi: Age24-SaraHedison_Eyeball  |  Kod ID: 2025-08-20-11-28-23_age24-sarahedison_eyeball  |  Range: [1.0, 0.0]
UI İsmi: Age24-SaraHedison_Teeth  |  Kod ID: 2025-08-20-11-28-27_age24-sarahedison_teeth  |  Range: [1.0, 0.0]
UI İsmi: Age26-MalikGrant_Eyeball  |  Kod ID: 2025-08-20-11-34-41_age26-malikgrant_eyeball  |  Range: [1.0, 0.0]
UI İsmi: Age26-MalikGrant_Teeth  |  Kod ID: 2025-08-20-11-34-47_age26-malikgrant_teeth  |  Range: [1.0, 0.0]
UI İsmi: Age31-RoyMiller_Eyeball  |  Kod ID: 2025-08-20-11-32-30_age31-roymiller_eyeball  |  Range: [1.0, 0.0]
UI İsmi: Age31-RoyMiller_Teeth  |  Kod ID: 2025-08-20-11-32-36_age31-roymiller_teeth  |  Range: [1.0, 0.0]
UI İsmi: CC4 Alika_Eyeball  |  Kod ID: 2025-08-23-13-12-34_alika_eyeball  |  Range: [1.0, 0.0]
UI İsmi: CC4 Alika_Teeth  |  Kod ID: 2025-08-23-13-12-35_alika_teeth  |  Range: [1.0, 0.0]
UI İsmi: CC4 Camila_Eyeball  |  Kod ID: 2025-08-25-16-13-35_cc4 camila_eyeball  |  Range: [1.0, 0.0]
UI İsmi: CC4 Camila_Teeth  |  Kod ID: 2025-08-25-16-13-36_cc4 camila_teeth  |  Range: [1.0, 0.0]
UI İsmi: CC4 Eddy_Eyeball  |  Kod ID: 2025-08-27-17-59-55_cc4 eddy_eyeball  |  Range: [1.0, 0.0]
UI İsmi: CC4 Eddy_Teeth  |  Kod ID: 2025-08-27-17-59-55_cc4 eddy_teeth  |  Range: [1.0, 0.0]
UI İsmi: CC4 Kevin_Eyeball  |  Kod ID: 2025-08-23-12-36-02_cc4 kevin_eyeball  |  Range: [1.0, 0.0]
UI İsmi: CC4 Kevin_Teeth  |  Kod ID: 2025-08-23-12-36-02_cc4 kevin_teeth  |  Range: [1.0, 0.0]
UI İsmi: EO Inner Height L  |  Kod ID: 00EO Inner Height L  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Height R  |  Kod ID: 01EO Inner Height R  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Upper Height L  |  Kod ID: 02EO Inner Upper Height L  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Upper Height R  |  Kod ID: 03EO Inner Upper Height R  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Lower Height L  |  Kod ID: 04EO Inner Lower Height L  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Lower Height R  |  Kod ID: 05EO Inner Lower Height R  |  Range: [1.0, -1.0]
UI İsmi: EO Center Upper Height L  |  Kod ID: 06EO Center Upper Height L  |  Range: [1.0, -1.0]
UI İsmi: EO Center Upper Height R  |  Kod ID: 07EO Center Upper Height R  |  Range: [1.0, -1.0]
UI İsmi: EO Center Lower Height L  |  Kod ID: 08EO Center Lower Height L  |  Range: [1.0, -1.0]
UI İsmi: EO Center Lower Height R  |  Kod ID: 09EO Center Lower Height R  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Height L  |  Kod ID: 10EO Outer Height L  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Height R  |  Kod ID: 11EO Outer Height R  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Upper Height L  |  Kod ID: 12EO Outer Upper Height L  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Upper Height R  |  Kod ID: 13EO Outer Upper Height R  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Lower Height L  |  Kod ID: 14EO Outer Lower Height L  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Lower Height R  |  Kod ID: 15EO Outer Lower Height R  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Width L  |  Kod ID: 16EO Inner Width L  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Width R  |  Kod ID: 17EO Inner Width R  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Width L  |  Kod ID: 18EO Outer Width L  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Width R  |  Kod ID: 19EO Outer Width R  |  Range: [1.0, -1.0]
UI İsmi: EO Bulge L  |  Kod ID: 20EO Bulge L  |  Range: [1.0, -1.0]
UI İsmi: EO Bulge R  |  Kod ID: 21EO Bulge R  |  Range: [1.0, -1.0]
UI İsmi: EO Depth L  |  Kod ID: 22EO Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Depth R  |  Kod ID: 23EO Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Duct Depth L  |  Kod ID: 24EO Duct Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Duct Depth R  |  Kod ID: 25EO Duct Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Upper Depth L  |  Kod ID: 26EO Upper Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Upper Depth R  |  Kod ID: 27EO Upper Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Lower Depth L  |  Kod ID: 28EO Lower Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Lower Depth R  |  Kod ID: 29EO Lower Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Depth L  |  Kod ID: 30EO Inner Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Depth R  |  Kod ID: 31EO Inner Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Upper Depth L  |  Kod ID: 32EO Inner Upper Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Upper Depth R  |  Kod ID: 33EO Inner Upper Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Lower Depth L  |  Kod ID: 34EO Inner Lower Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Lower Depth R  |  Kod ID: 35EO Inner Lower Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Center Upper Depth L  |  Kod ID: 36EO Center Upper Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Center Upper Depth R  |  Kod ID: 37EO Center Upper Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Center Lower Depth L  |  Kod ID: 38EO Center Lower Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Center Lower Depth R  |  Kod ID: 39EO Center Lower Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Depth L  |  Kod ID: 40EO Outer Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Depth R  |  Kod ID: 41EO Outer Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Upper Depth L  |  Kod ID: 42EO Outer Upper Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Upper Depth R  |  Kod ID: 43EO Outer Upper Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Lower Depth L  |  Kod ID: 44EO Outer Lower Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Lower Depth R  |  Kod ID: 45EO Outer Lower Depth R  |  Range: [1.0, -1.0]
