========== KATEGORİ: Actor/Body ==========
UI İsmi: CC3+_Neutral Female  |  Kod ID: 2019-11-11-15-31-00_cc3_dh_female_body  |  Range: [1.0, 0.0]
UI İsmi: CC3+_Katherine_Body  |  Kod ID: 2020-05-12-16-02-50_cc3plus_female_body  |  Range: [1.0, 0.0]
UI İsmi: CC3+_Jody_Body  |  Kod ID: 2019-11-07-11-38-25_digital female_body  |  Range: [1.0, 0.0]
UI İsmi: CC3_Base Female  |  Kod ID: 2018-09-25-19-20-00_cc3_base female body  |  Range: [1.0, 0.0]
UI İsmi: CC1_Base Female  |  Kod ID: cc embed morphs/embed_full_body2  |  Range: [1.0, 0.0]
UI İsmi: CC3+_Neutral Male  |  Kod ID: 2019-11-11-15-43-33_cc3_dh_male_body  |  Range: [1.0, 0.0]
UI İsmi: CC3+_Caleb_Body  |  Kod ID: 2020-05-12-16-05-00_cc3plus_male_body  |  Range: [1.0, 0.0]
UI İsmi: CC3+_Kevin_Body  |  Kod ID: 2019-11-14-16-25-13_digital male_body  |  Range: [1.0, 0.0]
UI İsmi: CC3_Base Male  |  Kod ID: 2018-09-25-19-50-35_cc3_base male body  |  Range: [1.0, 0.0]
UI İsmi: CC1_Base Male  |  Kod ID: cc embed morphs/embed_full_body4  |  Range: [1.0, 0.0]
UI İsmi: Slacker  |  Kod ID: 2018-09-19-18-42-53_slacker  |  Range: [1.0, 0.0]
UI İsmi: Body Thin  |  Kod ID: cc embed morphs/embed_full_body5  |  Range: [1.0, 0.0]
UI İsmi: Body Fat B  |  Kod ID: cc embed morphs/embed_full_body3  |  Range: [1.0, 0.0]
UI İsmi: Body Muscular A  |  Kod ID: cc embed morphs/embed_full_body6  |  Range: [1.0, 0.0]
UI İsmi: Body Bodybuilder  |  Kod ID: cc embed morphs/embed_full_body1  |  Range: [1.0, 0.0]
UI İsmi: Character Scale A  |  Kod ID: 2018-09-14-22-07-28_character scale  |  Range: [1.0, -1.0]
UI İsmi: Arm Length  |  Kod ID: cc embed morphs/embed_arm1  |  Range: [0.4000000059604645, -0.4000000059604645]
UI İsmi: Shoulder Scale  |  Kod ID: cc embed morphs/embed_arm101  |  Range: [1.0, -0.5]
UI İsmi: Shoulder Width A  |  Kod ID: cc embed morphs/embed_arm102  |  Range: [0.5, -0.5]
UI İsmi: Shoulder Top Height A  |  Kod ID: 2018-07-20-11-24-13_shoulder top adjust  |  Range: [1.0, -1.0]
UI İsmi: Shoulder Top Height B  |  Kod ID: 2018-09-25-18-34-43_shoulder top peak  |  Range: [1.0, 0.0]
UI İsmi: Deltoid Outer Curve  |  Kod ID: 2018-07-20-11-23-33_shoulder outer adjust  |  Range: [1.0, -1.0]
UI İsmi: Deltoid Depth  |  Kod ID: 2018-07-20-11-27-16_shoulder depth adjust  |  Range: [1.0, -1.0]
UI İsmi: Armpit Front Height  |  Kod ID: 2018-07-20-14-34-19_shoulder front crease adjust  |  Range: [1.0, -1.0]
UI İsmi: Upper Arm Length  |  Kod ID: cc embed morphs/embed_arm4  |  Range: [1.0, -0.5]
UI İsmi: Upper Arm Scale  |  Kod ID: cc embed morphs/embed_arm3  |  Range: [1.0, -1.0]
UI İsmi: Upperarm Inner Scale  |  Kod ID: 2018-07-20-11-27-45_upperarm inner adjust  |  Range: [1.0, -1.0]
UI İsmi: Forearm Length  |  Kod ID: cc embed morphs/embed_arm5  |  Range: [1.0, -0.6000000238418579]
UI İsmi: Forearm Scale  |  Kod ID: cc embed morphs/embed_arm2  |  Range: [1.0, -1.0]
UI İsmi: Elbow Scale  |  Kod ID: cc embed morphs/embed_arm202  |  Range: [1.0, 0.0]
UI İsmi: Forearm Inner Upper Scale  |  Kod ID: 2018-07-20-11-28-07_forearm inner adjust  |  Range: [1.0, -1.0]
UI İsmi: Wrist Scale  |  Kod ID: cc embed morphs/embed_arm201  |  Range: [1.0, -1.0]
UI İsmi: Hand Scale  |  Kod ID: cc embed morphs/embed_hand4  |  Range: [1.0, -0.4000000059604645]
UI İsmi: Hand Thickness  |  Kod ID: cc embed morphs/embed_hand3  |  Range: [1.0, -1.0]
UI İsmi: Hand Shape  |  Kod ID: 2018-09-12-16-43-40_hand shape  |  Range: [1.0, 0.0]
UI İsmi: Hand Tone  |  Kod ID: cc embed morphs/embed_hand5  |  Range: [1.0, -0.4000000059604645]
UI İsmi: Palm Edge Slim  |  Kod ID: 2018-10-01-14-44-37_palm edge slim  |  Range: [1.0, 0.0]
UI İsmi: Finger Length  |  Kod ID: cc embed morphs/embed_hand1  |  Range: [1.0, -1.0]
UI İsmi: Finger Width  |  Kod ID: cc embed morphs/embed_hand2  |  Range: [0.5, -0.5]
UI İsmi: Chest Scale  |  Kod ID: cc embed morphs/embed_torso104  |  Range: [1.0, -0.5]
UI İsmi: Chest Height  |  Kod ID: cc embed morphs/embed_torso112  |  Range: [0.6000000238418579, -0.30000001192092896]
UI İsmi: Chest Width  |  Kod ID: cc embed morphs/embed_torso105  |  Range: [1.0, -0.5]
