char_id,gender,age,group,fat_score,muscle_score,height_score,chest_height_score,hip_length_score,thigh_length_score,lower_leg_length_score,upper_arm_length_score,forearm_length_score,neck_length_score,height_cm,training_pattern,hip_score,waist_def_score,somatotype
char_00001,female,24,underweight,0.0228,0.1515,0.297,0.6302,0.3422,0.599,0.6422,0.5958,0.5683,0.63,,balanced,0.6165,0.8842,pear
char_00002,female,33,obese,0.6649,0.2802,0.4152,0.4747,0.4994,0.4819,0.4684,0.572,0.272,0.4414,,balanced,0.4982,0.7814,apple
char_00003,female,22,athletic_lean,0.0807,0.4636,0.2334,0.2796,0.3074,0.3801,0.4697,0.3848,0.5793,0.2793,,lower_dominant,0.5468,0.6995,rectangle
char_00004,female,29,underweight,0.0996,0.1299,0.3271,0.3518,0.3682,0.5844,0.5383,0.5627,0.5357,0.6518,,balanced,0.4938,0.5672,rectangle
char_00005,female,26,normal,0.2206,0.1501,0.261,0.5459,0.5836,0.5564,0.4848,0.5768,0.4594,0.2836,,balanced,0.4789,0.5831,rectangle
char_00006,female,26,normal,0.3147,0.2444,0.2383,0.4949,0.5918,0.5073,0.6225,0.4466,0.3531,0.6531,,balanced,0.634,0.4551,pear
char_00007,female,24,obese,0.7413,0.215,0.335,0.3448,0.4556,0.413,0.3389,0.4751,0.6389,0.6233,,balanced,0.7282,0.6197,apple
char_00008,female,32,overweight,0.496,0.1784,0.2024,0.3695,0.4011,0.2616,0.1335,0.3309,0.3754,0.1011,,balanced,0.2798,0.7427,rectangle
char_00009,female,38,overweight,0.5331,0.2067,0.3416,0.428,0.3153,0.295,0.2991,0.2551,0.5551,0.4097,,balanced,0.5475,0.4423,rectangle
char_00010,female,26,overweight,0.4888,0.3048,0.2852,0.6692,0.3692,0.6593,0.5421,0.396,0.3782,0.4279,,balanced,0.5883,0.3065,rectangle
char_00011,female,29,athletic_hyper,0.1008,0.9929,0.4,0.5734,0.7826,0.6454,0.4826,0.6875,0.5584,0.6182,,pull_dominant,0.3981,0.491,v_shape
char_00012,female,31,athletic_lean,0.0995,0.5561,0.2298,0.6432,0.4287,0.3538,0.4065,0.3432,0.5067,0.5754,,balanced,0.4631,0.376,rectangle
char_00013,female,27,overweight,0.4725,0.2571,0.291,0.5388,0.4841,0.6034,0.3034,0.3262,0.4766,0.4666,,balanced,0.3231,0.804,rectangle
char_00014,female,24,overweight,0.4675,0.2221,0.3565,0.3857,0.5803,0.3339,0.2803,0.5712,0.3191,0.3702,,balanced,0.5102,0.3919,rectangle
char_00015,female,27,normal,0.3368,0.157,0.3244,0.7253,0.6156,0.74,0.7354,0.44,0.5017,0.6033,,balanced,0.647,0.5056,pear
char_00016,female,33,normal,0.2436,0.2042,0.2919,0.4018,0.5171,0.3561,0.6561,0.5593,0.3603,0.4482,,balanced,0.7551,0.4782,pear
char_00017,female,34,normal,0.2463,0.1117,0.2142,0.2582,0.5323,0.4104,0.4266,0.2323,0.3315,0.2556,,balanced,0.458,0.3059,rectangle
char_00018,female,28,overweight,0.5681,0.2615,0.2741,0.6959,0.531,0.5755,0.8117,0.557,0.831,0.8266,,balanced,0.7361,0.7157,pear
char_00019,female,22,obese,0.7686,0.2963,0.2741,0.5789,0.3107,0.3513,0.4345,0.3768,0.2789,0.5732,,balanced,0.4771,0.5303,apple
char_00020,female,36,athletic_hyper,0.0792,0.7965,0.3261,0.6075,0.6969,0.5694,0.5534,0.7394,0.627,0.4394,,balanced,0.6699,0.5958,rectangle
char_00021,female,22,obese,0.6804,0.3243,0.3922,0.5926,0.6254,0.3254,0.4783,0.4489,0.5675,0.6095,,balanced,0.8148,0.3423,rectangle
char_00022,female,25,obese,0.8721,0.2513,0.2651,0.4352,0.2391,0.3777,0.3821,0.5391,0.3343,0.441,,balanced,0.4927,0.7534,apple
char_00023,female,20,normal,0.3212,0.2705,0.3197,0.6979,0.5702,0.6031,0.4867,0.5594,0.4011,0.3979,,balanced,0.5563,0.3771,rectangle
char_00024,female,34,normal,0.2775,0.1861,0.3075,0.6434,0.3434,0.5872,0.4575,0.4547,0.6345,0.4072,,balanced,0.2639,0.4042,rectangle
char_00025,female,20,overweight,0.5598,0.2822,0.2642,0.4483,0.6417,0.5655,0.6613,0.3613,0.545,0.5939,,balanced,0.4127,0.6634,rectangle
char_00026,female,26,normal,0.2969,0.2037,0.3176,0.4039,0.5379,0.5969,0.5646,0.7039,0.5706,0.5849,,balanced,0.468,0.7049,rectangle
char_00027,female,17,underweight,0.0412,0.0551,0.2717,0.3961,0.5857,0.5972,0.601,0.3064,0.4982,0.301,,balanced,0.3547,0.5478,rectangle
char_00028,female,21,underweight,0.0978,0.0999,0.3252,0.6496,0.4966,0.4149,0.3496,0.4151,0.5159,0.391,,balanced,0.5428,0.4203,rectangle
char_00029,female,19,normal,0.1807,0.1883,0.3208,0.707,0.4467,0.6394,0.407,0.6251,0.4787,0.6552,,balanced,0.6545,0.7632,pear
char_00030,female,40,normal,0.2358,0.1407,0.3506,0.3913,0.4615,0.3468,0.4278,0.5664,0.4055,0.6468,,balanced,0.3342,0.819,rectangle
char_00031,female,29,overweight,0.4573,0.2373,0.4006,0.4867,0.3752,0.6657,0.3657,0.4153,0.5488,0.6172,,balanced,0.5434,0.7131,rectangle
char_00032,female,23,obese,0.8258,0.236,0.3097,0.7125,0.7714,0.743,0.6735,0.7442,0.5713,0.4714,,balanced,0.5778,0.2607,apple
char_00033,female,16,underweight,0.0542,0.1112,0.2978,0.5296,0.3276,0.3159,0.4092,0.5894,0.6159,0.4283,,balanced,0.8447,0.6182,pear
char_00034,female,31,athletic_hyper,0.0822,0.8663,0.3097,0.4682,0.3647,0.6179,0.6647,0.6065,0.4959,0.6432,,upper_dominant,0.365,0.4488,v_shape
char_00035,female,24,athletic_hyper,0.0708,0.7715,0.2478,0.4456,0.5789,0.2789,0.3523,0.3104,0.3027,0.5313,,balanced,0.2669,0.3716,v_shape
char_00036,female,33,obese,0.9126,0.1974,0.3236,0.8159,0.7322,0.7407,0.6063,0.6877,0.5159,0.7295,,balanced,0.3798,0.4499,apple
char_00037,female,34,overweight,0.5399,0.2467,0.2711,0.4126,0.7126,0.5304,0.4863,0.4593,0.5712,0.4459,,balanced,0.5772,0.7996,rectangle
char_00038,female,28,normal,0.2337,0.2141,0.3792,0.4791,0.2873,0.1791,0.2276,0.3592,0.3742,0.2117,,balanced,0.8306,0.2219,pear
char_00039,female,40,normal,0.2171,0.1884,0.2629,0.3522,0.4423,0.6189,0.5117,0.6409,0.4815,0.3409,,balanced,0.6543,0.7707,pear
char_00040,female,30,normal,0.2032,0.1841,0.3439,0.4938,0.5578,0.3368,0.5817,0.3097,0.335,0.2817,,balanced,0.6309,0.684,pear
char_00041,female,27,athletic_hyper,0.0787,0.7379,0.2265,0.3421,0.3509,0.3338,0.5452,0.4572,0.3477,0.6338,,balanced,0.7496,0.6852,rectangle
char_00042,female,25,athletic_lean,0.1109,0.475,0.289,0.3659,0.4199,0.6659,0.6148,0.5007,0.6551,0.4206,,push_dominant,0.7742,0.309,pear
char_00043,female,24,overweight,0.4971,0.3364,0.2603,0.2203,0.2601,0.4299,0.3693,0.3205,0.3195,0.5203,,balanced,0.4986,0.4714,rectangle
char_00044,female,31,athletic_lean,0.0941,0.5508,0.2052,0.5007,0.3155,0.2217,0.336,0.5217,0.51,0.2631,,balanced,0.6263,0.2334,pear
char_00045,female,27,normal,0.1958,0.2336,0.2291,0.4188,0.3554,0.3342,0.6132,0.6342,0.5254,0.3744,,balanced,0.6842,0.4689,pear
