char_id,gender,age,group,somatotype,fat_score,muscle_score,height_score,chest_height_score,hip_length_score,thigh_length_score,lower_leg_length_score,upper_arm_length_score,forearm_length_score,neck_length_score,height_cm,training_pattern,hip_score,waist_def_score,chest_circ_pred_cm,waist_circ_pred_cm,hip_circ_pred_cm,thigh_circ_pred_cm,bicep_circ_pred_cm,neck_circ_pred_cm
char_00001,female,17,normal,pear,0.2092,0.4625,0.2866,0.4679,0.4444,0.4353,0.3511,0.5067,0.3894,0.6511,,balanced,0.5903,0.5878,102.9,99.6,115.9,64.7,32.5,37.7
char_00002,male,23,underweight,hourglass,0.0463,0.2358,0.4052,0.7475,0.5735,0.5932,0.5616,0.4847,0.7127,0.4475,,balanced,0.5699,0.8162,92.0,79.4,96.1,54.3,28.0,33.3
char_00003,male,36,obese,apple,0.8006,0.5364,0.4122,0.5525,0.6896,0.4448,0.4937,0.3896,0.4505,0.4703,,balanced,0.3062,0.5975,160.0,145.0,160.0,102.7,51.5,57.9
char_00004,male,22,underweight,hourglass,0.0108,0.2881,0.4764,0.4371,0.3561,0.5612,0.3631,0.4162,0.2612,0.5482,,balanced,0.5449,0.773,94.6,76.9,93.6,53.4,28.2,33.2
char_00005,male,30,athletic_lean,hourglass,0.0648,0.5966,0.4672,0.4702,0.6422,0.5829,0.518,0.3422,0.6041,0.6307,,lower_dominant,0.5588,0.7465,109.4,86.3,104.0,61.7,34.9,37.4
char_00006,male,20,normal,pear,0.2888,0.4603,0.3939,0.5343,0.3942,0.451,0.4287,0.4285,0.5055,0.2343,,balanced,0.7137,0.373,109.4,111.2,128.3,72.8,37.9,41.6
char_00007,male,39,obese,apple,0.6112,0.5519,0.5393,0.4136,0.5933,0.6645,0.5106,0.5889,0.4589,0.7136,,balanced,0.891,0.5407,160.0,145.0,160.0,97.6,48.6,52.9
char_00008,female,24,athletic_hyper,hourglass,0.0012,0.8919,0.2788,0.6041,0.5197,0.4113,0.6035,0.5471,0.7113,0.5696,,pull_dominant,0.5124,0.8642,105.6,77.6,96.1,56.8,30.5,35.0
char_00009,female,26,underweight,pear,0.0003,0.1877,0.2584,0.4711,0.4961,0.6741,0.4506,0.3741,0.5552,0.5853,,balanced,0.7663,0.4934,97.5,78.3,94.6,52.5,26.3,31.8
char_00010,female,25,obese,apple,0.8597,0.0159,0.2579,0.3766,0.6721,0.5329,0.5628,0.3721,0.4475,0.4407,,balanced,0.6752,0.3936,150.0,145.0,160.0,100.4,44.2,53.1
char_00011,female,19,athletic_lean,v_shape,0.0187,0.6241,0.2239,0.5059,0.4022,0.7022,0.677,0.6114,0.6319,0.6435,,push_dominant,0.3125,0.8823,100.0,78.9,94.9,55.3,28.8,34.2
char_00012,female,26,normal,pear,0.1714,0.2219,0.2375,0.5999,0.5084,0.7675,0.8084,0.5224,0.5516,0.7623,,balanced,0.6839,0.777,100.2,93.2,109.6,60.8,29.9,35.5
char_00013,male,29,athletic_lean,hourglass,0.0365,0.6153,0.4387,0.5544,0.6056,0.632,0.3817,0.388,0.6198,0.332,,balanced,0.5507,0.865,111.5,82.4,100.4,60.1,34.4,36.8
char_00014,male,28,underweight,hourglass,0.0371,0.3838,0.2929,0.843,0.8027,0.5798,0.6034,0.6832,0.7482,0.543,,balanced,0.5321,0.7673,98.8,80.6,97.4,56.2,30.1,34.5
char_00015,female,28,athletic_hyper,v_shape,0.132,0.9959,0.2626,0.5838,0.4805,0.529,0.4866,0.6685,0.3685,0.485,,balanced,0.3584,0.6789,106.4,92.6,110.1,64.4,34.3,38.7
char_00016,male,39,overweight,pear,0.3552,0.1909,0.4918,0.7685,0.8754,0.8249,0.8253,0.8405,0.5754,0.7967,,balanced,0.7111,0.6269,104.8,114.0,131.1,72.2,35.1,40.8
char_00017,female,37,obese,apple,0.7641,0.8919,0.247,0.4509,0.3634,0.4049,0.2057,0.325,0.1509,0.1539,,balanced,0.8349,0.7154,150.0,145.0,160.0,107.7,50.0,57.0
char_00018,male,31,normal,rectangle,0.2765,0.166,0.3476,0.3622,0.2907,0.3519,0.3005,0.3632,0.5832,0.2832,,balanced,0.2832,0.4114,96.7,103.7,117.5,65.4,32.9,38.7
char_00019,female,30,athletic_lean,pear,0.0769,0.4528,0.2553,0.4256,0.5087,0.7112,0.4771,0.4112,0.5541,0.4521,,balanced,0.6262,0.7101,100.5,85.2,102.0,57.6,29.3,34.6
