char_id,gender,age,group,fat_score,muscle_score,height_score,chest_height_score,hip_length_score,thigh_length_score,lower_leg_length_score,upper_arm_length_score,forearm_length_score,neck_length_score,height_cm,training_pattern
char_00001,female,24,underweight,0.1087,0.1177,0.2725,0.3377,0.6377,0.5913,0.3388,0.6099,0.4916,0.5485,,balanced
char_00002,female,33,obese,0.7375,0.2752,0.2928,0.7097,0.6677,0.5106,0.6032,0.6938,0.6794,0.8106,,balanced
char_00003,female,22,athletic_lean,0.1065,0.5773,0.3276,0.6406,0.3825,0.3605,0.6033,0.5291,0.3498,0.3406,,lower_dominant
char_00004,female,29,underweight,0.0672,0.092,0.3528,0.5463,0.7923,0.6947,0.5948,0.6809,0.6592,0.4923,,balanced
char_00005,female,26,normal,0.2353,0.2018,0.3616,0.5371,0.6347,0.4432,0.7328,0.7425,0.7432,0.7272,,balanced
char_00006,female,26,normal,0.2396,0.2541,0.2604,0.3534,0.4786,0.5064,0.5829,0.4033,0.4276,0.6534,,balanced
char_00007,female,24,obese,0.6983,0.1757,0.3695,0.4839,0.5983,0.5015,0.3397,0.543,0.6397,0.516,,balanced
char_00008,female,32,overweight,0.4265,0.2836,0.3167,0.3156,0.4975,0.5129,0.4022,0.6078,0.581,0.6156,,balanced
char_00009,female,38,overweight,0.4732,0.2433,0.2826,0.3573,0.5473,0.2549,0.5257,0.5549,0.3626,0.3374,,balanced
char_00010,female,26,overweight,0.476,0.3074,0.2872,0.5938,0.4649,0.6418,0.3815,0.3472,0.3736,0.3418,,balanced
char_00011,female,29,athletic_hyper,0.0869,0.7854,0.369,0.585,0.8281,0.7011,0.8515,0.5515,0.755,0.6755,,pull_dominant
char_00012,female,31,athletic_lean,0.0735,0.5689,0.2652,0.5298,0.5055,0.6957,0.5516,0.5847,0.6238,0.3957,,balanced
char_00013,female,27,overweight,0.4923,0.3256,0.2246,0.6126,0.3852,0.5561,0.3999,0.6404,0.4567,0.6852,,balanced
char_00014,female,24,overweight,0.4387,0.1695,0.2404,0.3206,0.561,0.4933,0.3343,0.4632,0.6024,0.3024,,balanced
char_00015,female,27,normal,0.2597,0.202,0.2248,0.5915,0.5631,0.5087,0.3718,0.6237,0.3888,0.6718,,balanced
char_00016,female,33,normal,0.2643,0.2705,0.4257,0.3467,0.5193,0.2841,0.5841,0.3183,0.5448,0.2865,,balanced
char_00017,female,34,normal,0.2454,0.168,0.2799,0.7066,0.5571,0.4909,0.7396,0.4396,0.6548,0.6655,,balanced
char_00018,female,28,overweight,0.4402,0.3131,0.3208,0.4276,0.3169,0.6169,0.5292,0.4124,0.5504,0.4278,,balanced
char_00019,female,22,obese,0.9323,0.2691,0.3759,0.5183,0.3172,0.2362,0.4601,0.3372,0.3232,0.5362,,balanced
char_00020,female,36,athletic_hyper,0.1064,0.899,0.3194,0.4529,0.6566,0.4722,0.6591,0.3591,0.5299,0.6435,,balanced
char_00021,female,22,obese,0.6786,0.2891,0.2283,0.6038,0.717,0.6061,0.7059,0.417,0.5511,0.5056,,balanced
char_00022,female,25,obese,0.7999,0.2535,0.2817,0.5016,0.5991,0.5602,0.7255,0.5356,0.4255,0.4277,,balanced
