,height_cm,weight_kg,neck_circ_cm,chest_circ_cm,waist_circ_cm,hip_circ_cm,mid_thigh_circ_cm,calf_circ_cm,bicep_circ_cm,forearm_circ_cm,wrist_circ_cm,shoulder_width_cm,hip_width_cm,upper_arm_length_cm,forearm_length_cm
height_cm,1.0,0.5334730814536811,0.29469813214406415,0.25956259489540506,0.22916089477399992,0.37883508204006994,0.3165101848744768,0.3426109655236168,0.24780372994714991,0.3569083183670576,0.5432115176373137,0.35892319791581967,0.3871611317146548,0.8201453121114349,0.6874624452396707
weight_kg,0.5334730814536811,1.0,0.7622692344390182,0.8292261853014782,0.8359621518160502,0.9125100103694421,0.8929239381966355,0.7974592126569806,0.8560674302771529,0.8170956037299452,0.7108851977113178,0.8608256785771247,0.8276330581906642,0.4631884318788085,0.4275761627503115
neck_circ_cm,0.29469813214406415,0.7622692344390182,1.0,0.7287207506945015,0.7019662224301527,0.6411629055242056,0.6184013533543568,0.5322960302057791,0.7029227120415974,0.7142185911616225,0.6054985346208076,0.7297819021806087,0.540177267443699,0.26646948161745815,0.26071345785598243
chest_circ_cm,0.25956259489540506,0.8292261853014782,0.7287207506945015,1.0,0.8440613214409461,0.7428750682179286,0.6924390573090342,0.5567004518599988,0.746203075641269,0.6586813910019972,0.5247771939416799,0.8161851852354325,0.6776733794567048,0.24038202241019507,0.1947603791949804
waist_circ_cm,0.22916089477399992,0.8359621518160502,0.7019662224301527,0.8440613214409461,1.0,0.8025198949358057,0.7590378969688779,0.5645854238355187,0.7577190355583118,0.6523765749388647,0.4931626109417928,0.7891714671900232,0.7344143557673893,0.22634779509516467,0.19487182816979584
hip_circ_cm,0.37883508204006994,0.9125100103694421,0.6411629055242056,0.7428750682179286,0.8025198949358057,1.0,0.9395578099242227,0.7367290455718594,0.7901991715480554,0.7113758617585925,0.5614246413487444,0.7691991138299769,0.942431017752892,0.3304522203516431,0.29624732879246546
mid_thigh_circ_cm,0.3165101848744768,0.8929239381966355,0.6184013533543568,0.6924390573090342,0.7590378969688779,0.9395578099242227,1.0,0.7665623865337262,0.8158187333849398,0.7334034911926228,0.5393225441804099,0.7550603552348347,0.8447878786692083,0.28092336537512314,0.30413858691749746
calf_circ_cm,0.3426109655236168,0.7974592126569806,0.5322960302057791,0.5567004518599988,0.5645854238355187,0.7367290455718594,0.7665623865337262,1.0,0.7173088914319079,0.7191779655531945,0.6126624917767419,0.6278990996112362,0.6719149539002119,0.2757538606006435,0.24048366254223444
bicep_circ_cm,0.24780372994714991,0.8560674302771529,0.7029227120415974,0.746203075641269,0.7577190355583118,0.7901991715480554,0.8158187333849398,0.7173088914319079,1.0,0.852132427521701,0.6005506544758965,0.7916353610976515,0.6876449720047708,0.21597747975976542,0.24996591441083424
forearm_circ_cm,0.3569083183670576,0.8170956037299452,0.7142185911616225,0.6586813910019972,0.6523765749388647,0.7113758617585925,0.7334034911926228,0.7191779655531945,0.852132427521701,1.0,0.7386572860803621,0.7319016912116487,0.607686670324635,0.32249990829178593,0.3539800287377436
wrist_circ_cm,0.5432115176373137,0.7108851977113178,0.6054985346208076,0.5247771939416799,0.4931626109417928,0.5614246413487444,0.5393225441804099,0.6126624917767419,0.6005506544758965,0.7386572860803621,1.0,0.6040650870329478,0.5001069914698166,0.4525367757278097,0.4351069122472257
shoulder_width_cm,0.35892319791581967,0.8608256785771247,0.7297819021806087,0.8161851852354325,0.7891714671900232,0.7691991138299769,0.7550603552348347,0.6278990996112362,0.7916353610976515,0.7319016912116487,0.6040650870329478,1.0,0.6852823043334468,0.3378633640824689,0.31609425384605433
hip_width_cm,0.3871611317146548,0.8276330581906642,0.540177267443699,0.6776733794567048,0.7344143557673893,0.942431017752892,0.8447878786692083,0.6719149539002119,0.6876449720047708,0.607686670324635,0.5001069914698166,0.6852823043334468,1.0,0.31947455490238297,0.22458583567742157
upper_arm_length_cm,0.8201453121114349,0.4631884318788085,0.26646948161745815,0.24038202241019507,0.22634779509516467,0.3304522203516431,0.28092336537512314,0.2757538606006435,0.21597747975976542,0.32249990829178593,0.4525367757278097,0.3378633640824689,0.31947455490238297,1.0,0.7311300756270996
forearm_length_cm,0.6874624452396707,0.4275761627503115,0.26071345785598243,0.1947603791949804,0.19487182816979584,0.29624732879246546,0.30413858691749746,0.24048366254223444,0.24996591441083424,0.3539800287377436,0.4351069122472257,0.31609425384605433,0.22458583567742157,0.7311300756270996,1.0
