char_id,height_cm,neck_circ_cm,chest_circ_cm,waist_circ_cm,hip_circ_cm,mid_thigh_circ_cm,calf_circ_cm,bicep_circ_cm,forearm_circ_cm,wrist_circ_cm,shoulder_width_cm,hip_width_cm,upper_arm_length_cm,forearm_length_cm,trochanterion_height_cm,tibial_height_cm,weight_kg,gender,navy_bfp
bmi_lo_f_0000,158.3,28.5,85.04,69.82,83.95,46.13,28.39,23.64,22.13,13.9,40.98,29.72,31.03,21.9,81.14,42.6,38.5,female,22.61
bmi_lo_f_0001,177.4,29.99,84.96,74.71,89.83,52.19,33.1,26.02,24.05,15.48,40.81,31.76,35.63,26.79,93.44,47.78,55.4,female,22.85
bmi_lo_f_0002,150.9,27.89,71.7,56.79,83.92,46.09,31.38,20.62,19.87,13.41,35.52,30.67,30.54,21.59,76.19,41.06,31.6,female,17.22
bmi_lo_f_0003,174.9,29.72,76.28,69.44,92.17,51.77,34.08,24.98,24.91,15.5,41.6,30.24,35.43,25.46,92.79,49.04,55.1,female,22.03
bmi_lo_f_0004,167.4,28.23,68.34,55.75,81.78,47.2,32.3,23.27,22.77,14.63,38.13,28.28,34.92,25.65,88.74,44.65,41.8,female,10.58
bmi_lo_f_0005,161.9,28.47,70.12,65.49,80.2,44.26,31.23,22.45,22.59,13.53,38.22,29.2,32.41,23.59,83.68,42.95,38.3,female,16.95
bmi_lo_f_0006,165.6,29.98,71.64,61.85,81.15,46.13,30.74,23.14,21.9,14.07,36.89,27.8,33.37,24.11,85.19,42.83,39.1,female,13.41
bmi_lo_f_0007,164.3,25.0,72.58,64.74,83.36,47.95,30.85,20.75,22.44,15.0,40.61,30.14,35.75,25.36,88.1,45.76,42.0,female,19.8
bmi_lo_f_0008,165.0,30.96,78.72,69.15,87.71,49.57,32.29,25.26,22.7,14.0,37.55,31.12,33.72,24.53,84.57,43.97,43.3,female,21.21
bmi_lo_f_0009,164.2,29.48,70.08,58.64,86.53,49.79,30.04,19.81,21.22,13.69,39.74,30.38,34.21,24.08,88.74,45.04,39.2,female,15.42
bmi_lo_f_0010,169.5,28.03,83.17,67.62,87.08,50.93,33.04,22.2,22.84,14.86,37.95,31.31,33.63,25.32,87.4,45.81,46.9,female,20.5
bmi_lo_f_0011,168.0,29.92,79.26,71.39,92.87,50.71,31.9,23.51,23.7,15.01,41.29,33.74,36.47,25.85,90.61,45.61,50.4,female,25.04
bmi_lo_f_0012,156.7,30.25,81.46,68.75,85.51,47.05,29.07,21.89,22.22,13.72,37.68,30.3,32.72,23.38,78.84,40.28,39.1,female,22.33
bmi_lo_f_0013,171.5,28.17,77.71,66.95,87.25,48.32,33.09,21.54,21.8,14.78,39.04,32.09,34.75,25.24,92.38,47.89,46.7,female,19.64
bmi_lo_f_0014,162.3,30.52,83.42,66.09,85.18,49.62,30.86,22.86,23.18,16.03,39.3,30.32,32.13,22.14,82.01,42.9,47.5,female,18.95
bmi_lo_f_0015,153.3,29.36,69.24,59.8,86.31,50.76,35.35,23.48,23.4,15.33,35.95,29.62,29.76,20.94,76.38,40.68,40.7,female,18.98
bmi_lo_f_0016,163.0,29.02,82.33,63.02,85.7,48.3,32.22,22.2,21.45,14.16,38.83,30.71,33.87,24.0,82.96,40.99,42.6,female,18.15
bmi_lo_f_0017,168.0,30.71,76.79,59.34,84.67,52.58,34.98,25.02,23.99,14.69,39.02,28.94,35.06,24.86,90.84,46.6,48.7,female,12.97
bmi_lo_f_0018,170.9,29.96,74.19,60.01,90.0,50.99,35.26,25.19,24.6,15.82,40.52,31.95,35.52,26.47,89.64,46.18,51.6,female,16.35
bmi_lo_f_0019,163.3,29.06,78.57,74.98,79.62,42.75,28.61,23.16,21.9,14.0,38.86,26.44,33.39,24.02,89.65,45.85,40.8,female,21.45
bmi_lo_f_0020,173.0,31.21,71.73,61.22,84.89,45.31,31.16,21.77,22.21,15.19,39.84,31.49,34.57,23.23,86.53,46.4,44.8,female,12.72
bmi_lo_f_0021,174.8,30.9,76.16,64.26,87.66,50.22,30.79,24.26,23.1,14.78,40.5,30.98,34.19,25.72,88.08,47.46,48.6,female,15.96
bmi_lo_f_0022,173.1,30.33,70.24,56.05,87.26,47.43,31.83,25.65,25.73,14.82,39.31,30.63,36.14,26.67,93.05,47.79,47.5,female,11.5
bmi_lo_f_0023,166.7,31.07,90.11,73.92,84.51,49.12,30.98,25.21,22.89,14.73,42.82,30.03,34.26,26.31,84.91,43.35,50.9,female,21.59
bmi_lo_f_0024,160.3,28.66,73.7,59.17,84.55,48.37,33.67,26.14,23.64,16.02,38.5,29.44,32.62,24.53,83.53,42.52,46.9,female,16.05
bmi_lo_f_0025,160.0,29.92,85.38,73.47,87.71,50.82,31.6,24.87,22.22,14.14,40.89,30.87,32.39,23.86,84.02,42.23,45.9,female,25.47
bmi_lo_f_0026,158.4,27.18,77.68,59.59,75.98,41.52,31.28,23.29,21.93,13.77,38.53,27.21,32.86,24.13,85.55,45.93,37.9,female,12.33
bmi_lo_f_0027,164.4,28.85,80.27,69.86,86.99,49.71,29.28,24.98,21.27,15.11,40.73,31.43,33.53,22.15,86.33,43.78,46.5,female,22.54
bmi_lo_f_0028,150.1,30.82,76.66,69.88,89.67,51.29,31.85,24.25,24.3,15.11,38.23,30.75,30.02,20.58,75.04,39.44,41.0,female,26.8
bmi_lo_f_0029,158.0,30.27,84.1,66.46,83.17,45.14,31.92,24.03,24.33,14.96,39.57,30.3,32.4,22.62,80.74,41.5,41.5,female,19.27
bmi_lo_f_0030,165.4,27.41,71.19,56.9,78.85,42.93,31.68,21.89,23.6,15.36,39.64,28.95,34.09,23.95,84.53,44.49,38.8,female,10.46
bmi_lo_f_0031,174.3,27.72,81.56,67.55,87.6,47.27,31.38,22.64,22.95,14.83,38.37,31.74,36.13,24.44,90.92,46.68,45.7,female,19.74
bmi_lo_f_0032,153.9,29.46,72.68,59.18,87.65,49.39,33.22,22.74,22.43,14.93,37.61,32.21,32.18,22.83,77.44,40.08,38.5,female,19.19
bmi_lo_f_0033,161.4,29.45,78.61,59.95,80.05,45.68,28.35,23.66,21.9,14.06,40.38,27.44,32.43,25.54,85.26,44.09,41.3,female,12.93
bmi_lo_f_0034,161.5,29.78,85.78,68.42,85.23,48.86,30.85,24.16,22.66,14.0,38.82,31.06,32.26,22.14,84.27,42.84,43.6,female,20.97
bmi_lo_f_0035,165.4,28.1,74.99,63.11,81.05,46.29,30.34,19.74,22.46,14.12,38.91,29.2,33.6,24.34,86.75,42.82,38.1,female,15.34
bmi_lo_f_0036,159.4,31.77,82.11,68.52,87.04,51.17,32.92,23.22,23.57,14.19,40.6,31.28,32.8,22.39,78.52,39.99,44.6,female,21.48
bmi_lo_f_0037,159.4,31.89,75.05,58.22,86.31,50.29,30.85,22.63,23.35,14.58,38.76,30.59,31.52,21.85,76.96,40.81,39.4,female,14.79
bmi_lo_f_0038,157.6,28.59,77.74,62.04,89.61,50.89,32.49,25.07,21.9,13.97,38.71,31.49,31.22,22.55,78.52,41.37,43.9,female,21.54
bmi_lo_f_0039,153.8,29.32,78.7,65.22,87.0,48.89,30.77,23.89,22.71,13.6,39.34,31.42,30.13,21.2,77.7,39.59,40.6,female,22.48
