char_id,height_cm,neck_circ_cm,chest_circ_cm,waist_circ_cm,hip_circ_cm,mid_thigh_circ_cm,calf_circ_cm,bicep_circ_cm,forearm_circ_cm,wrist_circ_cm,shoulder_width_cm,hip_width_cm,upper_arm_length_cm,forearm_length_cm,trochanterion_height_cm,tibial_height_cm,weight_kg,gender,navy_bfp
ansur_00000,156.0,33.5,92.2,85.0,101.1,62.2,36.0,31.5,26.5,15.2,46.6,34.5,32.7,23.5,84.4,43.0,65.7,female,37.22
ansur_00001,177.6,40.0,107.4,93.3,97.9,61.0,37.3,36.9,29.9,17.5,49.3,33.2,36.8,27.3,91.9,49.1,81.5,male,21.26
ansur_00002,166.5,30.2,83.9,70.8,89.3,52.4,35.0,27.2,24.7,15.5,43.0,31.5,34.6,25.9,90.1,47.5,53.4,female,23.04
ansur_00003,170.2,38.0,102.1,87.0,94.4,57.2,35.7,33.8,28.9,16.7,47.9,31.2,35.3,25.4,91.8,47.6,72.6,male,19.41
ansur_00004,171.1,32.5,87.4,72.7,98.7,57.7,38.4,30.0,26.2,16.2,45.0,35.6,36.2,25.8,88.2,45.8,66.3,female,26.63
ansur_00005,173.5,40.3,112.0,96.4,105.4,68.5,41.2,40.8,35.7,18.0,54.4,34.9,36.7,26.8,91.8,47.7,92.9,male,23.88
ansur_00006,166.0,35.7,100.8,92.3,101.2,67.9,37.2,36.4,30.9,17.3,48.4,33.7,33.3,25.0,86.6,46.3,78.2,female,36.96
ansur_00007,165.5,40.7,111.4,85.7,99.1,60.4,39.5,35.9,31.8,17.6,51.8,33.8,33.0,24.9,84.7,44.5,79.4,male,17.08
ansur_00008,157.2,34.0,108.9,116.3,128.1,76.6,43.3,32.0,26.0,15.2,52.5,44.8,32.9,24.2,80.0,42.9,88.6,female,59.66
ansur_00009,191.4,39.8,104.8,86.8,102.9,67.2,42.5,35.6,32.4,18.8,52.4,33.2,40.0,30.2,109.0,58.4,94.6,male,14.28
ansur_00010,170.7,35.4,103.1,96.8,108.5,67.4,39.6,34.2,29.7,15.9,47.0,35.8,34.8,27.1,92.2,47.4,83.7,female,41.01
ansur_00011,172.0,39.5,106.6,95.0,97.3,60.7,38.6,34.0,29.8,17.1,50.2,32.0,36.3,26.3,89.8,47.3,80.2,male,23.74
ansur_00012,164.4,33.8,98.8,96.4,104.9,65.0,37.3,32.0,26.7,15.4,46.6,36.5,33.1,23.8,86.6,44.3,73.2,female,41.6
ansur_00013,181.0,46.1,120.8,107.3,113.9,75.4,46.7,45.2,37.6,19.5,56.0,36.8,37.2,29.6,94.5,50.3,116.2,male,25.84
