char_id,gender,somatotype,inversion_mae_cm,weight_kg,navy_bfp,target_height_cm,target_shoulder_width_cm,target_hip_width_cm,target_chest_circ_cm,target_waist_circ_cm,target_hip_circ_cm,target_neck_circ_cm,target_bicep_circ_cm,target_forearm_circ_cm,target_mid_thigh_circ_cm,target_calf_circ_cm,target_upper_arm_length_cm,target_forearm_length_cm,target_upper_leg_length_cm,target_lower_leg_length_cm,morph_abdomen_depth,morph_abdomen_scale,morph_body_builder,morph_body_fat,morph_body_muscular,morph_body_thin,morph_breast_scale,morph_chest_depth,morph_chest_height,morph_chest_scale,morph_chest_width,morph_forearm_len,morph_forearm_scale,morph_glute_scale,morph_hip_len,morph_hip_scale,morph_lower_leg_len,morph_lower_leg_scale,morph_neck_len,morph_neck_scale,morph_thigh_len,morph_thigh_scale,morph_upperarm_len,morph_upperarm_scale,pred_height_cm,pred_shoulder_width_cm,pred_hip_width_cm,pred_chest_circ_cm,pred_waist_circ_cm,pred_hip_circ_cm,pred_neck_circ_cm,pred_bicep_circ_cm,pred_forearm_circ_cm,pred_mid_thigh_circ_cm,pred_calf_circ_cm,pred_upper_arm_length_cm,pred_forearm_length_cm,pred_upper_leg_length_cm,pred_lower_leg_length_cm,target_WHR,pred_WHR,target_SHR,pred_SHR,target_leg_taper,pred_leg_taper,target_chest_waist,pred_chest_waist,target_hip_chest,pred_hip_chest,target_neck_chest,pred_neck_chest,target_bicep_thigh,pred_bicep_thigh,target_shoulder_chest,pred_shoulder_chest,target_hip_width_circ,pred_hip_width_circ,target_arm_ratio,pred_arm_ratio,target_leg_ratio,pred_leg_ratio,target_bicep_calf,pred_bicep_calf,target_forearm_bicep,pred_forearm_bicep,target_shoulder_hip_circ,pred_shoulder_hip_circ
ansur_00000,female,pear,0.223,65.7,37.22,156.0,46.6,34.5,92.2,85.0,101.1,33.5,31.5,26.5,62.2,36.0,32.7,23.5,41.4,43.0,1.0,-0.2917,0.0,0.1308,0.0,0.0,0.0646,-0.5,-1.0,-0.5,0.3988,-0.1126,0.6993,0.1838,-0.8047,-0.3,-0.1827,0.5845,-1.0,0.0,-0.2119,1.0,0.5171,0.3106,156.18,46.77,34.79,92.42,85.15,101.29,34.09,31.29,26.38,61.6,35.71,32.7,23.5,41.24,42.83,0.8408,0.8407,1.3507,1.3444,1.7278,1.725,1.0847,1.0854,1.0965,1.096,0.3633,0.3689,0.5064,0.508,0.5054,0.5061,0.3412,0.3435,0.7187,0.7187,1.0386,1.0386,0.875,0.8762,0.8413,0.8431,0.4609,0.4617
ansur_00001,male,rectangle,0.048,81.5,21.26,177.6,49.3,33.2,107.4,93.3,97.9,40.0,36.9,29.9,61.0,37.3,36.8,27.3,42.8,49.1,1.0,0.4782,0.2916,0.1413,0.0,0.0,0.0,-0.5,-0.6299,-0.3684,1.0,0.184,1.0,-0.761,1.0,-0.3,0.0966,0.48,1.0,0.8314,-0.145,0.3204,0.8498,0.4966,177.59,49.24,33.28,107.4,93.29,97.87,40.0,36.81,29.77,60.85,37.22,36.81,27.31,42.82,49.12,0.953,0.9532,1.4849,1.4796,1.6354,1.6349,1.1511,1.1512,0.9115,0.9113,0.3724,0.3724,0.6049,0.6049,0.459,0.4585,0.3391,0.34,0.7418,0.7419,1.1472,1.1471,0.9893,0.989,0.8103,0.8087,0.5036,0.5031
ansur_00002,female,pear,0.315,53.4,23.04,166.5,43.0,31.5,83.9,70.8,89.3,30.2,27.2,24.7,52.4,35.0,34.6,25.9,42.6,47.5,1.0,-0.7298,0.0,0.0546,0.0,0.5687,0.6294,-0.5,-1.0,-0.5,-0.5,0.0932,0.9749,0.7001,1.0,-0.3,0.0187,1.0,-0.5457,0.0,-0.16,0.8149,0.6142,0.3685,166.53,43.64,32.26,84.41,71.14,89.79,30.93,27.0,24.58,51.87,34.67,34.57,25.89,42.61,47.5,0.7928,0.7923,1.3651,1.3528,1.4971,1.4961,1.185,1.1865,1.0644,1.0637,0.36,0.3664,0.5191,0.5205,0.5125,0.517,0.3527,0.3593,0.7486,0.7489,1.115,1.1148,0.7771,0.7788,0.9081,0.9104,0.4815,0.486
ansur_00003,male,v_shape,0.092,72.6,19.41,170.2,47.9,31.2,102.1,87.0,94.4,38.0,33.8,28.9,57.2,35.7,35.3,25.4,44.2,47.6,1.0,-0.5547,0.0,0.199,0.0,0.0,0.0,-0.5,-1.0,-0.5,0.8104,0.0465,0.9945,-0.8749,1.0,-0.3,0.0224,0.3712,-0.2097,0.4478,-0.0826,0.0167,0.7397,0.4297,170.21,47.95,31.52,102.2,87.05,94.44,38.03,33.66,28.82,56.86,35.53,35.32,25.41,44.22,47.61,0.9216,0.9217,1.5353,1.5213,1.6022,1.6003,1.1736,1.174,0.9246,0.9241,0.3722,0.3721,0.5909,0.592,0.4691,0.4692,0.3305,0.3338,0.7195,0.7194,1.0769,1.0767,0.9468,0.9474,0.855,0.8562,0.5074,0.5077
ansur_00004,female,hourglass,0.084,66.3,26.63,171.1,45.0,35.6,87.4,72.7,98.7,32.5,30.0,26.2,57.7,38.4,36.2,25.8,42.4,45.8,-1.0,-1.0,0.2012,0.0325,0.0,0.0,0.3557,-0.5,-0.9053,-0.5,-0.1992,0.0628,0.684,1.0,1.0,0.1696,-0.0484,1.0,1.0,0.0,-0.1661,0.2134,0.7596,0.0875,171.09,45.05,35.76,87.43,72.79,98.59,32.75,29.91,26.14,57.58,38.16,36.2,25.8,42.44,45.83,0.7366,0.7383,1.264,1.2598,1.5026,1.5089,1.2022,1.2011,1.1293,1.1276,0.3719,0.3746,0.5199,0.5195,0.5149,0.5153,0.3607,0.3627,0.7127,0.7127,1.0802,1.0799,0.7812,0.7838,0.8733,0.874,0.4559,0.4569
ansur_00005,male,v_shape,1.777,92.9,23.88,173.5,54.4,34.9,112.0,96.4,105.4,40.3,40.8,35.7,68.5,41.2,36.7,26.8,44.1,47.7,1.0,1.0,0.5456,0.0678,0.0,0.0,0.0,-0.5,-1.0,-0.099,1.0,0.1512,1.0,0.3222,1.0,-0.3,0.0408,0.6413,-0.0426,0.8551,-0.0812,0.6549,0.8858,0.397,173.6,50.39,35.29,110.6,94.68,103.26,39.95,37.72,30.23,64.09,38.72,37.31,27.15,44.21,47.74,0.9146,0.9169,1.5587,1.4279,1.6626,1.6552,1.1618,1.1681,0.9411,0.9336,0.3598,0.3612,0.5956,0.5885,0.4857,0.4556,0.3311,0.3418,0.7302,0.7277,1.0816,1.0798,0.9903,0.9742,0.875,0.8014,0.5161,0.488
ansur_00006,female,v_shape,0.584,78.2,36.96,166.0,48.4,33.7,100.8,92.3,101.2,35.7,36.4,30.9,67.9,37.2,33.3,25.0,40.3,46.3,1.0,0.4744,0.2816,0.1264,0.0,0.0,0.0,-0.5,-1.0,-0.5,0.8201,-0.0012,1.0,-0.7925,1.0,-0.3,-0.0218,0.354,0.1951,0.0,-0.2626,1.0,0.5692,0.3524,166.04,48.32,35.01,101.25,92.52,101.37,35.82,35.26,29.57,65.45,36.02,33.41,25.07,40.37,46.34,0.9121,0.9127,1.4362,1.3802,1.8253,1.817,1.0921,1.0944,1.004,1.0012,0.3542,0.3538,0.5361,0.5387,0.4802,0.4772,0.333,0.3454,0.7508,0.7504,1.1489,1.1479,0.9785,0.9789,0.8489,0.8386,0.4783,0.4767
ansur_00007,male,v_shape,0.468,79.4,17.08,165.5,51.8,33.8,111.4,85.7,99.1,40.7,35.9,31.8,60.4,39.5,33.0,24.9,40.2,44.5,1.0,0.1325,0.6352,0.035,0.0,0.0,0.0,-0.5,-1.0,-0.0006,1.0,-0.0309,1.0,1.0,1.0,-0.3,-0.0924,0.6824,-0.4803,1.0,-0.2476,0.0798,0.5529,0.0409,165.52,50.71,33.92,110.94,85.32,98.34,40.36,35.19,30.23,59.66,39.01,33.16,25.0,40.25,44.53,0.8648,0.8676,1.5325,1.495,1.5291,1.5294,1.2999,1.3003,0.8896,0.8864,0.3654,0.3638,0.5944,0.5898,0.465,0.4571,0.3411,0.3449,0.7545,0.7539,1.107,1.1063,0.9089,0.9021,0.8858,0.8591,0.5227,0.5157
ansur_00008,female,pear,1.642,88.6,59.66,157.2,52.5,44.8,108.9,116.3,128.1,34.0,32.0,26.0,76.6,43.3,32.9,24.2,37.1,42.9,1.0,1.0,0.0,0.2304,0.0,0.0,0.0,-0.5,-1.0,-0.5,1.0,-0.0383,0.2735,-0.9398,1.0,1.0,-0.1856,1.0,-0.1165,0.0,-0.4261,0.6685,0.5855,-0.0259,157.47,48.73,43.75,107.74,112.5,125.93,36.76,30.65,25.24,72.7,40.73,33.29,24.39,36.89,42.63,0.9079,0.8934,1.1719,1.1138,1.7691,1.7849,0.9364,0.9577,1.1763,1.1688,0.3122,0.3412,0.4178,0.4216,0.4821,0.4523,0.3497,0.3474,0.7356,0.7327,1.1563,1.1556,0.739,0.7525,0.8125,0.8235,0.4098,0.387
ansur_00009,male,v_shape,1.435,94.6,14.28,191.4,52.4,33.2,104.8,86.8,102.9,39.8,35.6,32.4,67.2,42.5,40.0,30.2,50.6,58.4,1.0,0.168,0.3988,0.058,0.0,0.0,0.0,-0.5,-1.0,-0.1753,1.0,0.3681,1.0,0.6318,1.0,-0.3,0.4996,1.0,0.1817,1.0,0.1998,0.8302,1.0,0.1426,191.46,50.06,34.94,104.21,86.13,101.61,39.27,33.39,29.35,62.83,39.99,38.75,29.6,50.8,58.53,0.8435,0.8477,1.5783,1.4327,1.5812,1.5711,1.2074,1.2099,0.9819,0.9751,0.3798,0.3768,0.5298,0.5314,0.5,0.4804,0.3226,0.3439,0.755,0.7639,1.1542,1.1522,0.8376,0.835,0.9101,0.879,0.5092,0.4927
