char_id,gender,somatotype,inversion_mae_cm,weight_kg,navy_bfp,target_height_cm,target_shoulder_width_cm,target_hip_width_cm,target_chest_circ_cm,target_waist_circ_cm,target_hip_circ_cm,target_neck_circ_cm,target_bicep_circ_cm,target_forearm_circ_cm,target_mid_thigh_circ_cm,target_calf_circ_cm,target_upper_arm_length_cm,target_forearm_length_cm,target_upper_leg_length_cm,target_lower_leg_length_cm,morph_abdomen_depth,morph_abdomen_scale,morph_body_builder,morph_body_fat,morph_body_muscular,morph_body_thin,morph_breast_scale,morph_chest_depth,morph_chest_height,morph_chest_scale,morph_chest_width,morph_forearm_len,morph_forearm_scale,morph_glute_scale,morph_hip_len,morph_hip_scale,morph_lower_leg_len,morph_lower_leg_scale,morph_neck_len,morph_neck_scale,morph_thigh_len,morph_thigh_scale,morph_upperarm_len,morph_upperarm_scale,pred_height_cm,pred_shoulder_width_cm,pred_hip_width_cm,pred_chest_circ_cm,pred_waist_circ_cm,pred_hip_circ_cm,pred_neck_circ_cm,pred_bicep_circ_cm,pred_forearm_circ_cm,pred_mid_thigh_circ_cm,pred_calf_circ_cm,pred_upper_arm_length_cm,pred_forearm_length_cm,pred_upper_leg_length_cm,pred_lower_leg_length_cm,target_WHR,pred_WHR,target_SHR,pred_SHR,target_leg_taper,pred_leg_taper,target_chest_waist,pred_chest_waist,target_hip_chest,pred_hip_chest,target_neck_chest,pred_neck_chest,target_bicep_thigh,pred_bicep_thigh,target_shoulder_chest,pred_shoulder_chest,target_hip_width_circ,pred_hip_width_circ,target_arm_ratio,pred_arm_ratio,target_leg_ratio,pred_leg_ratio,target_bicep_calf,pred_bicep_calf,target_forearm_bicep,pred_forearm_bicep,target_shoulder_hip_circ,pred_shoulder_hip_circ
char_00000,male,v_shape,1.14,77.6,22.01,169.7,53.8,34.8,106.2,90.6,102.6,38.2,37.6,31.1,64.4,36.9,34.2,24.5,40.3,43.0,1.0,1.0,0.2831,0.0256,0.0,0.0,0.0,-0.5,-1.0,0.2305,1.0,-0.0329,1.0,0.8148,1.0,-0.3,-0.1652,0.5478,0.6507,1.0,-0.2555,1.0,0.6994,0.682,169.76,51.34,35.43,105.4,89.65,101.28,37.89,35.66,28.2,61.11,35.19,34.59,24.71,40.4,43.05,0.883,0.8852,1.546,1.4491,1.7453,1.7366,1.1722,1.1757,0.9661,0.9609,0.3597,0.3595,0.5839,0.5835,0.5066,0.4871,0.3392,0.3498,0.7164,0.7144,1.067,1.0656,1.019,1.0134,0.8271,0.7908,0.5244,0.5069
char_00001,male,apple,1.287,94.0,26.29,173.7,52.8,36.0,113.1,102.9,104.3,43.0,37.9,32.2,64.8,43.9,33.4,26.8,44.9,44.9,1.0,1.0,0.4096,0.1555,0.0,0.0,0.0,-0.5,-1.0,-0.3917,1.0,0.155,1.0,-0.9755,1.0,-0.0696,-0.0837,1.0,1.0,1.0,-0.0406,0.0435,0.5921,0.2444,173.64,49.17,34.72,111.43,100.97,102.3,41.8,36.59,30.57,62.67,42.17,33.75,27.0,45.0,44.98,0.9866,0.987,1.4667,1.4162,1.4761,1.4861,1.0991,1.1036,0.9222,0.9181,0.3802,0.3751,0.5849,0.5839,0.4668,0.4413,0.3452,0.3394,0.8024,0.8,1.0,0.9996,0.8633,0.8677,0.8496,0.8355,0.5062,0.4806
char_00002,female,v_shape,0.67,78.6,40.34,160.0,52.2,38.0,106.8,85.5,110.2,33.8,36.1,27.6,69.0,39.8,33.2,24.3,38.4,42.5,1.0,-0.3201,0.2942,0.0636,0.0,0.0,0.0,-0.5,-1.0,0.0389,1.0,-0.0602,0.6868,1.0,1.0,0.121,-0.1871,0.8656,-0.7925,0.0,-0.3496,1.0,0.5951,0.4818,160.07,50.85,38.51,106.54,85.21,109.41,34.59,35.08,27.06,66.23,38.46,33.39,24.39,38.42,42.48,0.7759,0.7788,1.3737,1.3204,1.7337,1.722,1.2491,1.2503,1.0318,1.0269,0.3165,0.3247,0.5232,0.5297,0.4888,0.4773,0.3448,0.352,0.7319,0.7305,1.1068,1.1057,0.907,0.9121,0.7645,0.7714,0.4737,0.4648
char_00003,male,v_shape,2.555,105.2,25.14,176.0,57.5,38.2,116.7,102.0,113.8,43.3,41.6,35.4,72.0,43.5,37.6,27.5,45.5,44.9,1.0,1.0,0.4444,0.1119,0.0,0.0,0.0,-0.5,-1.0,-0.0766,1.0,0.2243,1.0,0.5605,1.0,-0.3,-0.0868,0.9292,1.0,1.0,-0.0241,1.0,0.9799,0.5473,176.08,50.43,36.47,113.53,98.52,109.79,41.04,38.61,30.27,67.44,40.96,38.42,27.94,45.55,44.9,0.8963,0.8973,1.5052,1.3828,1.6552,1.6465,1.1441,1.1524,0.9751,0.9671,0.371,0.3615,0.5778,0.5725,0.4927,0.4442,0.3357,0.3322,0.7314,0.7272,0.9868,0.9857,0.9563,0.9426,0.851,0.784,0.5053,0.4593
char_00004,female,rectangle,0.681,50.0,22.13,159.1,41.1,31.3,90.3,67.0,88.6,30.8,25.0,23.7,51.6,34.7,32.7,22.4,38.4,41.5,-0.3339,-1.0,0.0,0.0925,0.128,1.0,0.789,-0.5,0.5473,-0.5,-0.5,-0.2048,1.0,0.8527,-1.0,-0.3,-0.2406,1.0,-1.0,0.0,-0.3256,0.8787,0.4507,0.1964,159.15,43.35,32.49,91.82,67.99,90.16,31.59,24.76,23.51,51.04,34.18,32.51,22.31,38.37,41.46,0.7562,0.7541,1.3131,1.3343,1.487,1.4933,1.3478,1.3505,0.9812,0.9819,0.3411,0.344,0.4845,0.4851,0.4551,0.4721,0.3533,0.3604,0.685,0.6863,1.0807,1.0805,0.7205,0.7244,0.948,0.9495,0.4639,0.4808
char_00005,female,v_shape,0.335,68.8,36.6,159.7,47.1,33.4,99.7,85.9,102.3,34.8,35.4,28.4,64.4,36.9,31.6,24.6,38.2,43.7,1.0,-0.7443,0.0,0.2,0.0,0.1425,0.0,-0.5,-1.0,-0.5,0.678,-0.0158,0.9814,-0.3743,1.0,-0.3,-0.1406,0.5894,-0.1859,0.0,-0.3594,1.0,0.4305,0.6782,159.74,47.57,34.34,100.14,86.18,102.65,35.7,35.11,28.24,63.64,36.54,31.6,24.6,38.22,43.71,0.8397,0.8396,1.4102,1.3853,1.7453,1.7417,1.1607,1.162,1.0261,1.0251,0.349,0.3565,0.5497,0.5517,0.4724,0.475,0.3265,0.3345,0.7785,0.7785,1.144,1.1436,0.9593,0.9609,0.8023,0.8043,0.4604,0.4634
char_00006,male,v_shape,0.33,69.9,15.0,174.3,48.7,32.3,100.8,82.9,93.4,38.5,36.6,32.7,55.9,35.3,34.7,25.0,40.6,46.2,-1.0,0.3346,0.815,0.009,0.0,0.0,0.0,-0.5,-0.1738,-0.5,0.7613,-0.0411,1.0,1.0,1.0,-0.2955,-0.0107,0.0013,1.0,0.5101,-0.2169,-0.6413,0.6493,-0.0942,174.21,48.28,32.4,100.69,82.77,92.99,38.47,35.91,30.88,55.51,34.97,34.8,25.07,40.73,46.33,0.8876,0.8901,1.5077,1.4901,1.5836,1.5874,1.2159,1.2165,0.9266,0.9235,0.3819,0.3821,0.6547,0.6469,0.4831,0.4795,0.3458,0.3484,0.7205,0.7204,1.1379,1.1375,1.0368,1.0269,0.8934,0.8599,0.5214,0.5192
char_00007,female,apple,0.113,75.8,40.59,169.2,45.6,36.9,101.8,97.4,103.9,33.3,33.4,27.5,61.8,38.8,36.1,24.6,41.4,45.6,1.0,1.0,0.0263,0.1121,-0.0,0.0,0.0135,1.0,-1.0,-0.5,0.0193,-0.0266,0.8956,-0.6641,0.9283,0.2146,-0.0606,1.0,1.0,0.0,-0.2185,0.5893,0.7751,0.5495,169.19,45.64,36.96,101.89,97.43,103.96,33.74,33.23,27.4,61.45,38.49,36.1,24.6,41.41,45.61,0.9374,0.9372,1.2358,1.2348,1.5928,1.5965,1.0452,1.0458,1.0206,1.0203,0.3271,0.3311,0.5405,0.5408,0.4479,0.4479,0.3551,0.3555,0.6814,0.6814,1.1014,1.1014,0.8608,0.8633,0.8234,0.8246,0.4389,0.439
char_00008,male,apple,0.0,77.9,23.49,181.9,48.3,34.4,101.2,94.7,97.5,37.0,31.5,30.2,57.4,36.7,37.8,26.8,41.4,48.2,0.8639,1.0,0.5521,0.0637,0.0,0.0,0.0,-0.5,1.0,-0.5,0.8082,0.119,1.0,-0.1375,0.602,0.0338,0.064,0.3584,1.0,0.2004,-0.1943,-0.4704,0.9055,-0.3463,181.9,48.3,34.4,101.2,94.7,97.5,37.0,31.5,30.2,57.4,36.7,37.8,26.8,41.4,48.2,0.9713,0.9713,1.4041,1.4041,1.564,1.564,1.0686,1.0686,0.9634,0.9634,0.3656,0.3656,0.5488,0.5488,0.4773,0.4773,0.3528,0.3528,0.709,0.709,1.1643,1.1643,0.8583,0.8583,0.9587,0.9587,0.4954,0.4954
char_00009,male,rectangle,0.0,85.7,26.88,167.6,49.5,36.3,111.7,99.2,105.1,40.1,36.1,29.5,64.2,40.2,34.5,25.5,41.9,43.8,0.3621,1.0,0.4777,0.1257,0.0,0.0,0.0,-0.5,-0.2949,-0.3119,1.0,0.0204,0.8106,-0.5245,0.0172,0.0264,-0.1301,0.7453,-0.1322,0.653,-0.1722,0.1994,0.6586,0.1552,167.6,49.5,36.3,111.7,99.2,105.1,40.1,36.1,29.5,64.2,40.2,34.5,25.5,41.9,43.8,0.9439,0.9439,1.3636,1.3636,1.597,1.597,1.126,1.126,0.9409,0.9409,0.359,0.359,0.5623,0.5623,0.4432,0.4432,0.3454,0.3454,0.7391,0.7391,1.0453,1.0453,0.898,0.898,0.8172,0.8172,0.471,0.471
