char_id,gender,somatotype,inversion_mae_cm,weight_kg,navy_bfp,target_height_cm,target_shoulder_width_cm,target_hip_width_cm,target_chest_circ_cm,target_waist_circ_cm,target_hip_circ_cm,target_neck_circ_cm,target_bicep_circ_cm,target_forearm_circ_cm,target_mid_thigh_circ_cm,target_calf_circ_cm,target_upper_arm_length_cm,target_forearm_length_cm,target_upper_leg_length_cm,target_lower_leg_length_cm,morph_abdomen_depth,morph_abdomen_scale,morph_body_builder,morph_body_fat,morph_body_muscular,morph_body_thin,morph_breast_scale,morph_chest_depth,morph_chest_height,morph_chest_scale,morph_chest_width,morph_forearm_len,morph_forearm_scale,morph_glute_scale,morph_hip_len,morph_hip_scale,morph_lower_leg_len,morph_lower_leg_scale,morph_neck_len,morph_neck_scale,morph_thigh_len,morph_thigh_scale,morph_upperarm_len,morph_upperarm_scale,pred_height_cm,pred_shoulder_width_cm,pred_hip_width_cm,pred_chest_circ_cm,pred_waist_circ_cm,pred_hip_circ_cm,pred_neck_circ_cm,pred_bicep_circ_cm,pred_forearm_circ_cm,pred_mid_thigh_circ_cm,pred_calf_circ_cm,pred_upper_arm_length_cm,pred_forearm_length_cm,pred_upper_leg_length_cm,pred_lower_leg_length_cm,target_WHR,pred_WHR,target_SHR,pred_SHR,target_leg_taper,pred_leg_taper,target_chest_waist,pred_chest_waist,target_hip_chest,pred_hip_chest,target_neck_chest,pred_neck_chest,target_bicep_thigh,pred_bicep_thigh,target_shoulder_chest,pred_shoulder_chest,target_hip_width_circ,pred_hip_width_circ,target_arm_ratio,pred_arm_ratio,target_leg_ratio,pred_leg_ratio,target_bicep_calf,pred_bicep_calf,target_forearm_bicep,pred_forearm_bicep,target_shoulder_hip_circ,pred_shoulder_hip_circ
bmi_lo_f_0000,female,rectangle,0.651,38.5,22.61,158.3,40.98,29.72,85.04,69.82,83.95,28.5,23.64,22.13,46.13,28.39,31.03,21.9,38.54,42.6,1.0,-0.1529,0.0,0.0294,0.0,1.0,0.9663,-0.5,-0.474,-0.5,-0.5,-0.2433,0.9263,1.0,1.0,-0.3,-0.1911,0.435,-1.0,0.0,-0.3315,0.6728,0.3168,0.3014,158.33,43.33,31.26,86.58,70.9,85.47,29.42,23.56,22.08,45.88,28.27,30.85,21.82,38.54,42.59,0.8317,0.8295,1.3789,1.3861,1.6249,1.6229,1.218,1.2212,0.9872,0.9872,0.3351,0.3398,0.5125,0.5135,0.4819,0.5005,0.354,0.3657,0.7058,0.7073,1.1053,1.1051,0.8327,0.8334,0.9361,0.9372,0.4881,0.507
bmi_lo_f_0001,female,rectangle,0.772,55.4,22.85,177.4,40.81,31.76,84.96,74.71,89.83,29.99,26.02,24.05,52.19,33.1,35.63,26.79,45.66,47.78,1.0,-0.1516,0.0,0.0759,0.0,0.9506,0.7103,-0.5,1.0,-0.5,-0.5,0.1624,1.0,0.3479,0.6767,-0.159,0.0254,0.9044,-1.0,0.0,-0.0217,1.0,0.6733,0.4049,177.43,43.41,33.13,86.62,75.94,91.62,30.85,25.71,23.42,51.72,32.83,35.43,26.7,45.63,47.75,0.8317,0.8289,1.2849,1.3103,1.5767,1.5754,1.1372,1.1406,1.0573,1.0577,0.353,0.3562,0.4986,0.4971,0.4803,0.5012,0.3536,0.3616,0.7519,0.7536,1.0464,1.0465,0.7861,0.7831,0.9243,0.9109,0.4543,0.4738
bmi_lo_f_0002,female,hourglass,2.132,31.6,17.22,150.9,35.52,30.67,71.7,56.79,83.92,27.89,20.62,19.87,46.09,31.38,30.54,21.59,35.13,41.06,-1.0,-1.0,0.0,0.0,0.0,1.0,0.6915,-0.5,-0.2386,-0.5,-0.5,-0.2892,0.6446,1.0,-1.0,0.1924,-0.263,1.0,-1.0,0.1661,-0.4788,0.7175,0.2355,0.0748,151.17,43.31,34.64,76.62,61.6,88.49,29.21,21.02,20.14,48.07,31.66,29.83,21.26,34.97,40.85,0.6767,0.6961,1.1581,1.2503,1.4688,1.5183,1.2625,1.2438,1.1704,1.1549,0.389,0.3812,0.4474,0.4373,0.4954,0.5653,0.3655,0.3915,0.7069,0.7127,1.1688,1.1681,0.6571,0.6639,0.9636,0.9581,0.4233,0.4894
bmi_lo_f_0003,female,hourglass,0.746,55.1,22.03,174.9,41.6,30.24,76.28,69.44,92.17,29.72,24.98,24.91,51.77,34.08,35.43,25.46,43.75,49.04,-1.0,-1.0,0.0,0.1286,0.0,1.0,0.1458,-0.5,-1.0,-0.5,-0.5,0.0569,1.0,1.0,1.0,-0.3,0.0833,0.9253,0.9686,0.0,-0.1048,0.7972,0.6707,0.1619,174.98,43.45,32.09,77.48,70.29,93.16,31.95,24.58,23.85,51.46,33.85,35.35,25.43,43.77,49.03,0.7534,0.7545,1.3757,1.354,1.5191,1.5202,1.0985,1.1023,1.2083,1.2024,0.3896,0.4124,0.4825,0.4777,0.5454,0.5608,0.3281,0.3445,0.7186,0.7194,1.1209,1.1202,0.733,0.7261,0.9972,0.9703,0.4513,0.4664
bmi_lo_f_0004,female,hourglass,1.413,41.8,10.58,167.4,38.13,28.28,68.34,55.75,81.78,28.23,23.27,22.77,47.2,32.3,34.92,25.65,44.09,44.65,-1.0,-1.0,-0.0,0.0,0.0,1.0,0.4849,-0.5,-0.1389,-0.5,-0.5,0.0604,1.0,1.0,1.0,-0.2321,-0.1094,1.0,-1.0,0.1148,-0.0879,1.0,0.6031,0.3188,167.57,43.41,31.88,71.44,59.22,84.16,29.12,23.03,22.21,47.47,31.72,34.53,25.46,44.12,44.62,0.6817,0.7037,1.3483,1.3617,1.4613,1.4965,1.2258,1.2063,1.1967,1.1781,0.4131,0.4076,0.493,0.4851,0.5579,0.6076,0.3458,0.3788,0.7345,0.7373,1.0127,1.0113,0.7204,0.726,0.9785,0.9644,0.4663,0.5158
bmi_lo_f_0005,female,pear,1.241,38.3,16.95,161.9,38.22,29.2,70.12,65.49,80.2,28.47,22.45,22.59,44.26,31.23,32.41,23.59,40.73,42.95,-1.0,-0.2204,0.0,0.0272,0.0,1.0,0.4156,-0.5,0.3935,-0.5,-0.5,-0.1125,1.0,0.6766,-1.0,-0.1073,-0.1852,0.8489,-1.0,0.0,-0.2235,0.3499,0.4032,0.1731,162.05,43.33,31.73,73.14,67.85,83.74,29.33,22.44,22.54,44.25,31.22,31.98,23.38,40.58,42.79,0.8166,0.8102,1.3089,1.3656,1.4172,1.4174,1.0707,1.078,1.1438,1.1449,0.406,0.401,0.5072,0.5071,0.5451,0.5924,0.3641,0.3789,0.7279,0.7311,1.0545,1.0545,0.7189,0.7188,1.0062,1.0045,0.4766,0.5174
bmi_lo_f_0006,female,hourglass,1.55,39.1,13.41,165.6,36.89,27.8,71.64,61.85,81.15,29.98,23.14,21.9,46.13,30.74,33.37,24.11,42.36,42.83,-1.0,-1.0,0.0,0.0731,0.0,1.0,0.2867,-0.5,0.8583,-0.5,-0.5,-0.075,0.7841,1.0,-1.0,-0.3,-0.194,0.6476,-1.0,0.1139,-0.1522,0.4767,0.47,0.137,165.8,43.34,31.0,75.45,64.66,85.58,31.08,23.16,21.91,46.15,30.75,32.82,23.85,42.17,42.63,0.7622,0.7556,1.327,1.3981,1.5007,1.5008,1.1583,1.1669,1.1327,1.1343,0.4185,0.4119,0.5016,0.5018,0.5149,0.5744,0.3426,0.3622,0.7225,0.7267,1.0111,1.0109,0.7528,0.7532,0.9464,0.946,0.4546,0.5064
bmi_lo_f_0007,female,pear,1.102,42.0,19.8,164.3,40.61,30.14,72.58,64.74,83.36,25.0,20.75,22.44,47.95,30.85,35.75,25.36,42.34,45.76,-1.0,-0.1301,0.0,0.0,0.0,1.0,0.6364,-0.5,-1.0,-0.5,-0.5,0.0427,1.0,1.0,1.0,-0.2669,-0.0619,0.829,-0.489,0.0,-0.172,1.0,0.6885,0.0204,164.43,43.46,32.04,74.83,66.34,85.59,28.55,20.53,22.21,47.24,30.47,35.56,25.27,42.25,45.65,0.7766,0.7751,1.3474,1.3564,1.5543,1.5504,1.1211,1.128,1.1485,1.1438,0.3444,0.3815,0.4327,0.4346,0.5595,0.5808,0.3616,0.3743,0.7094,0.7106,1.0808,1.0805,0.6726,0.6738,1.0814,1.0818,0.4872,0.5078
bmi_lo_f_0008,female,pear,1.381,43.3,21.21,165.0,37.55,31.12,78.72,69.15,87.71,30.96,25.26,22.7,49.57,32.29,33.72,24.53,40.6,43.97,-1.0,-0.0174,0.0,0.0366,0.0,1.0,0.7229,-0.5,0.889,-0.5,-0.5,-0.0387,1.0,1.0,-1.0,-0.0675,-0.1419,0.9784,-1.0,0.5462,-0.2382,0.9306,0.4997,0.4855,165.19,43.34,34.01,82.08,71.66,91.59,31.88,25.27,22.7,49.59,32.3,33.2,24.28,40.42,43.78,0.7884,0.7824,1.2066,1.2743,1.5352,1.5353,1.1384,1.1454,1.1142,1.1159,0.3933,0.3884,0.5096,0.5096,0.477,0.528,0.3548,0.3713,0.7275,0.7313,1.083,1.0831,0.7823,0.7824,0.8987,0.8983,0.4281,0.4732
bmi_lo_f_0009,female,hourglass,0.99,39.2,15.42,164.2,39.74,30.38,70.08,58.64,86.53,29.48,19.81,21.22,49.79,30.04,34.21,24.08,43.7,45.04,-1.0,-1.0,0.0132,-0.0,0.0,1.0,0.5083,-0.5,-0.8115,-0.5,-0.5,-0.0673,0.8019,1.0,1.0,0.0049,-0.0895,0.7201,-1.0,0.3375,-0.1056,1.0,0.5611,-0.1011,164.3,43.43,33.63,72.1,60.95,88.06,30.07,19.69,21.13,49.33,29.81,33.95,23.96,43.77,45.05,0.6777,0.6921,1.3081,1.2914,1.6575,1.6548,1.1951,1.1829,1.2347,1.2214,0.4207,0.4171,0.3979,0.3991,0.5671,0.6024,0.3511,0.3819,0.7039,0.7057,1.0307,1.0292,0.6595,0.6605,1.0712,1.0731,0.4593,0.4932
