char_id,gender,morph_key,morph_id,morph_value
hprob_baseline_f,female,baseline,,0.0
hprob_thigh_len_00_f,female,thigh_len,cc embed morphs/embed_leg4,-1.0
hprob_thigh_len_01_f,female,thigh_len,cc embed morphs/embed_leg4,-0.9
hprob_thigh_len_02_f,female,thigh_len,cc embed morphs/embed_leg4,-0.8
hprob_thigh_len_03_f,female,thigh_len,cc embed morphs/embed_leg4,-0.7
hprob_thigh_len_04_f,female,thigh_len,cc embed morphs/embed_leg4,-0.6
hprob_thigh_len_05_f,female,thigh_len,cc embed morphs/embed_leg4,-0.5
hprob_thigh_len_06_f,female,thigh_len,cc embed morphs/embed_leg4,-0.4
hprob_thigh_len_07_f,female,thigh_len,cc embed morphs/embed_leg4,-0.3
hprob_thigh_len_08_f,female,thigh_len,cc embed morphs/embed_leg4,-0.2
hprob_thigh_len_09_f,female,thigh_len,cc embed morphs/embed_leg4,-0.1
hprob_thigh_len_10_f,female,thigh_len,cc embed morphs/embed_leg4,0.0
hprob_thigh_len_11_f,female,thigh_len,cc embed morphs/embed_leg4,0.1
hprob_thigh_len_12_f,female,thigh_len,cc embed morphs/embed_leg4,0.2
hprob_thigh_len_13_f,female,thigh_len,cc embed morphs/embed_leg4,0.3
hprob_thigh_len_14_f,female,thigh_len,cc embed morphs/embed_leg4,0.4
hprob_thigh_len_15_f,female,thigh_len,cc embed morphs/embed_leg4,0.5
hprob_thigh_len_16_f,female,thigh_len,cc embed morphs/embed_leg4,0.6
hprob_thigh_len_17_f,female,thigh_len,cc embed morphs/embed_leg4,0.7
hprob_thigh_len_18_f,female,thigh_len,cc embed morphs/embed_leg4,0.8
hprob_thigh_len_19_f,female,thigh_len,cc embed morphs/embed_leg4,0.9
hprob_thigh_len_20_f,female,thigh_len,cc embed morphs/embed_leg4,1.0
hprob_lower_leg_len_00_f,female,lower_leg_len,cc embed morphs/embed_leg5,-1.0
hprob_lower_leg_len_01_f,female,lower_leg_len,cc embed morphs/embed_leg5,-0.9
hprob_lower_leg_len_02_f,female,lower_leg_len,cc embed morphs/embed_leg5,-0.8
hprob_lower_leg_len_03_f,female,lower_leg_len,cc embed morphs/embed_leg5,-0.7
hprob_lower_leg_len_04_f,female,lower_leg_len,cc embed morphs/embed_leg5,-0.6
hprob_lower_leg_len_05_f,female,lower_leg_len,cc embed morphs/embed_leg5,-0.5
hprob_lower_leg_len_06_f,female,lower_leg_len,cc embed morphs/embed_leg5,-0.4
hprob_lower_leg_len_07_f,female,lower_leg_len,cc embed morphs/embed_leg5,-0.3
hprob_lower_leg_len_08_f,female,lower_leg_len,cc embed morphs/embed_leg5,-0.2
hprob_lower_leg_len_09_f,female,lower_leg_len,cc embed morphs/embed_leg5,-0.1
hprob_lower_leg_len_10_f,female,lower_leg_len,cc embed morphs/embed_leg5,0.0
hprob_lower_leg_len_11_f,female,lower_leg_len,cc embed morphs/embed_leg5,0.1
hprob_lower_leg_len_12_f,female,lower_leg_len,cc embed morphs/embed_leg5,0.2
hprob_lower_leg_len_13_f,female,lower_leg_len,cc embed morphs/embed_leg5,0.3
hprob_lower_leg_len_14_f,female,lower_leg_len,cc embed morphs/embed_leg5,0.4
hprob_lower_leg_len_15_f,female,lower_leg_len,cc embed morphs/embed_leg5,0.5
hprob_lower_leg_len_16_f,female,lower_leg_len,cc embed morphs/embed_leg5,0.6
hprob_lower_leg_len_17_f,female,lower_leg_len,cc embed morphs/embed_leg5,0.7
hprob_lower_leg_len_18_f,female,lower_leg_len,cc embed morphs/embed_leg5,0.8
hprob_lower_leg_len_19_f,female,lower_leg_len,cc embed morphs/embed_leg5,0.9
hprob_lower_leg_len_20_f,female,lower_leg_len,cc embed morphs/embed_leg5,1.0
hprob_hip_len_00_f,female,hip_len,cc embed morphs/embed_torso4,-1.0
hprob_hip_len_01_f,female,hip_len,cc embed morphs/embed_torso4,-0.9
hprob_hip_len_02_f,female,hip_len,cc embed morphs/embed_torso4,-0.8
hprob_hip_len_03_f,female,hip_len,cc embed morphs/embed_torso4,-0.7
hprob_hip_len_04_f,female,hip_len,cc embed morphs/embed_torso4,-0.6
hprob_hip_len_05_f,female,hip_len,cc embed morphs/embed_torso4,-0.5
hprob_hip_len_06_f,female,hip_len,cc embed morphs/embed_torso4,-0.4
hprob_hip_len_07_f,female,hip_len,cc embed morphs/embed_torso4,-0.3
hprob_hip_len_08_f,female,hip_len,cc embed morphs/embed_torso4,-0.2
hprob_hip_len_09_f,female,hip_len,cc embed morphs/embed_torso4,-0.1
hprob_hip_len_10_f,female,hip_len,cc embed morphs/embed_torso4,0.0
hprob_hip_len_11_f,female,hip_len,cc embed morphs/embed_torso4,0.1
hprob_hip_len_12_f,female,hip_len,cc embed morphs/embed_torso4,0.2
hprob_hip_len_13_f,female,hip_len,cc embed morphs/embed_torso4,0.3
hprob_hip_len_14_f,female,hip_len,cc embed morphs/embed_torso4,0.4
hprob_hip_len_15_f,female,hip_len,cc embed morphs/embed_torso4,0.5
hprob_hip_len_16_f,female,hip_len,cc embed morphs/embed_torso4,0.6
hprob_hip_len_17_f,female,hip_len,cc embed morphs/embed_torso4,0.7
hprob_hip_len_18_f,female,hip_len,cc embed morphs/embed_torso4,0.8
hprob_hip_len_19_f,female,hip_len,cc embed morphs/embed_torso4,0.9
hprob_hip_len_20_f,female,hip_len,cc embed morphs/embed_torso4,1.0
hprob_chest_height_00_f,female,chest_height,cc embed morphs/embed_torso112,-1.0
hprob_chest_height_01_f,female,chest_height,cc embed morphs/embed_torso112,-0.9
hprob_chest_height_02_f,female,chest_height,cc embed morphs/embed_torso112,-0.8
hprob_chest_height_03_f,female,chest_height,cc embed morphs/embed_torso112,-0.7
hprob_chest_height_04_f,female,chest_height,cc embed morphs/embed_torso112,-0.6
hprob_chest_height_05_f,female,chest_height,cc embed morphs/embed_torso112,-0.5
hprob_chest_height_06_f,female,chest_height,cc embed morphs/embed_torso112,-0.4
hprob_chest_height_07_f,female,chest_height,cc embed morphs/embed_torso112,-0.3
hprob_chest_height_08_f,female,chest_height,cc embed morphs/embed_torso112,-0.2
hprob_chest_height_09_f,female,chest_height,cc embed morphs/embed_torso112,-0.1
hprob_chest_height_10_f,female,chest_height,cc embed morphs/embed_torso112,0.0
hprob_chest_height_11_f,female,chest_height,cc embed morphs/embed_torso112,0.1
hprob_chest_height_12_f,female,chest_height,cc embed morphs/embed_torso112,0.2
hprob_chest_height_13_f,female,chest_height,cc embed morphs/embed_torso112,0.3
hprob_chest_height_14_f,female,chest_height,cc embed morphs/embed_torso112,0.4
hprob_chest_height_15_f,female,chest_height,cc embed morphs/embed_torso112,0.5
hprob_chest_height_16_f,female,chest_height,cc embed morphs/embed_torso112,0.6
hprob_chest_height_17_f,female,chest_height,cc embed morphs/embed_torso112,0.7
hprob_chest_height_18_f,female,chest_height,cc embed morphs/embed_torso112,0.8
hprob_chest_height_19_f,female,chest_height,cc embed morphs/embed_torso112,0.9
