char_id,gender,morph_key,morph_id,morph_value,height_cm,shoulder_width_cm,hip_width_cm,chest_circ_cm,waist_circ_cm,hip_circ_cm,neck_circ_cm,bicep_circ_cm,forearm_circ_cm,mid_thigh_circ_cm,calf_circ_cm,upper_arm_length_cm,forearm_length_cm,upper_leg_length_cm,lower_leg_length_cm
sens_upperarm_len_03_m,male,upperarm_len,cc embed morphs/embed_arm4,-0.4,179.01,46.92,32.72,87.02,75.41,86.45,31.14,25.64,20.53,49.61,28.75,21.55,24.58,45.94,47.15
sens_abs_line_04_m,male,abs_line,cc embed morphs/embed_torso106,0.4,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_back_09_m,male,musc_back,2025-05-05-12-31-03_embed_athetic_back_01,0.9,179.01,46.89,32.72,91.04,76.12,86.45,31.16,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_chest_width_01_m,male,chest_width,cc embed morphs/embed_torso105,-0.35,178.91,45.81,32.72,83.78,75.41,86.45,31.14,25.66,20.57,49.61,28.75,26.59,24.68,45.94,47.15
sens_skin_abs_09_f,female,skin_abs,2025-05-07-13-43-26_pack_skinny_abs_01,0.9,178.8,47.1,32.76,87.1,74.34,86.36,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_chest_height_06_m,male,chest_height,cc embed morphs/embed_torso112,0.2,180.0,46.89,32.72,87.1,75.41,86.45,31.16,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_breast_scale_01_f,female,breast_scale,cc embed morphs/embed_torso102,0.1,178.8,47.1,32.76,88.82,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_lower_leg_len_04_f,female,lower_leg_len,cc embed morphs/embed_leg5,-0.2,174.04,47.1,32.76,87.1,75.46,86.52,30.99,25.73,20.66,49.78,28.92,26.43,24.7,45.91,42.56
sens_musc_abs_00_m,male,musc_abs,2025-05-08-15-26-33_embed_athetic_abs_iso_01,0.0,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_skin_shoulder_00_m,male,skin_shoulder,2025-05-07-12-21-11_pack_skinny_shoulder_01,0.0,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_skin_spine_08_m,male,skin_spine,2025-05-07-14-17-56_pack_skinny_spine_01,0.8,179.01,46.89,32.72,87.34,75.48,86.49,30.97,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_shoulder_scale_04_m,male,shoulder_scale,cc embed morphs/embed_arm101,0.1,179.01,47.01,32.72,87.05,75.41,86.45,31.14,25.93,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_forearm_len_09_m,male,forearm_len,cc embed morphs/embed_arm5,0.8,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.59,20.61,49.61,28.75,26.9,34.08,45.94,47.15
sens_musc_chest_b_01_f,female,musc_chest_b,2025-05-08-11-32-58_embed_athetic_chest_02,0.1,178.8,47.1,32.76,87.33,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_musc_neck_08_m,male,musc_neck,2025-05-05-13-47-33_embed_athetic_chest_01,0.8,179.01,46.89,32.72,87.02,75.42,86.45,31.3,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_skin_neck_07_f,female,skin_neck,2025-05-07-12-04-51_pack_skinny_neck_01,0.7,178.8,47.1,32.76,87.1,75.46,86.52,29.23,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_skin_abs_04_m,male,skin_abs,2025-05-07-13-43-26_pack_skinny_abs_01,0.4,179.01,46.89,32.72,87.02,74.72,86.33,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_upperarm_len_07_m,male,upperarm_len,cc embed morphs/embed_arm4,0.4,179.01,47.13,32.72,87.03,75.42,86.45,31.14,25.64,20.6,49.61,28.75,31.31,24.78,45.94,47.15
sens_abs_line_01_m,male,abs_line,cc embed morphs/embed_torso106,0.1,179.01,46.89,32.72,87.02,75.41,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_chest_depth_03_f,female,chest_depth,cc embed morphs/embed_torso103,-0.05,178.8,47.1,32.76,86.57,75.44,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_breast_prox_06_m,male,breast_prox,cc embed morphs/embed_torso101,0.6,179.01,46.89,32.72,87.55,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_chest_a_04_m,male,musc_chest_a,2025-05-05-12-07-08_embed_athetic_chest_01,0.4,179.01,46.89,32.72,87.68,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_skin_arm_10_f,female,skin_arm,2025-05-07-14-12-07_pack_skinny_arm_01,1.0,178.8,47.03,32.76,87.07,75.46,86.52,30.99,22.4,16.09,49.76,28.89,26.43,24.7,46.0,47.15
sens_musc_chest_a_00_m,male,musc_chest_a,2025-05-05-12-07-08_embed_athetic_chest_01,0.0,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_skin_ribcage_01_m,male,skin_ribcage,2025-05-07-12-27-17_pack_skinny_rib_01,0.1,179.01,46.89,32.72,87.02,75.11,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_arm_03_f,female,musc_arm,2025-05-05-12-31-36_embed_athetic_arn_01,0.3,178.8,46.97,32.76,87.11,75.46,86.52,30.99,26.96,21.13,49.76,28.89,26.43,24.7,46.0,47.15
sens_body_muscular_02_f,female,body_muscular,cc embed morphs/embed_full_body6,0.2,178.8,46.99,33.14,89.7,76.16,87.26,31.67,26.69,20.86,51.08,29.76,26.43,24.7,46.0,47.15
sens_abs_line_08_m,male,abs_line,cc embed morphs/embed_torso106,0.8,179.01,46.89,32.72,87.03,75.5,86.44,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_chest_depth_00_m,male,chest_depth,cc embed morphs/embed_torso103,-0.5,179.01,46.88,32.72,81.82,75.22,86.45,31.13,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_arm_08_f,female,musc_arm,2025-05-05-12-31-36_embed_athetic_arn_01,0.8,178.8,46.95,32.76,87.15,75.46,86.52,30.99,29.14,22.0,49.76,28.89,26.43,24.7,46.0,47.15
sens_skin_chest_10_m,male,skin_chest,2025-05-08-14-58-30_pack_skinny_chest_03,1.0,179.01,46.89,32.72,85.79,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_skin_thigh_05_f,female,skin_thigh,2025-06-10-17-18-17_pack_skinny_thigh_02,0.5,178.8,47.1,31.73,87.1,74.56,84.99,30.99,25.73,20.66,46.27,28.89,26.43,24.7,46.0,47.15
sens_musc_waist_04_f,female,musc_waist,2025-05-05-12-18-34_embed_athetic_abs_01,0.4,178.8,47.1,32.76,87.1,75.6,86.51,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_abdomen_depth_00_f,female,abdomen_depth,cc embed morphs/embed_torso111,-1.0,178.8,47.1,32.76,87.1,74.51,86.4,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_pectoral_height_00_f,female,pectoral_height,cc embed morphs/embed_torso115,0.0,178.8,47.1,32.76,87.1,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_body_fat_00_m,male,body_fat,cc embed morphs/embed_full_body3,0.0,179.02,46.89,32.72,87.02,75.41,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_hip_love_handles_06_f,female,hip_love_handles,cc embed morphs/embed_torso107,0.6,178.8,47.1,32.76,87.1,77.23,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_body_builder_03_m,male,body_builder,cc embed morphs/embed_full_body1,0.3,178.95,47.33,33.6,94.42,77.69,89.76,32.89,29.36,22.16,53.81,30.83,26.65,24.94,45.82,46.98
sens_pectoral_height_10_f,female,pectoral_height,cc embed morphs/embed_torso115,1.0,178.8,47.1,32.76,88.04,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_skin_buttocks_09_f,female,skin_buttocks,2025-06-10-17-01-51_pack_skinny_bottom_02,0.9,178.8,47.1,32.39,87.1,74.82,84.12,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_skin_neck_01_m,male,skin_neck,2025-05-07-12-04-51_pack_skinny_neck_01,0.1,179.01,46.89,32.72,87.02,75.42,86.45,30.88,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_chest_width_07_f,female,chest_width,cc embed morphs/embed_torso105,0.55,178.85,48.79,32.76,92.25,75.46,86.52,30.99,25.7,20.66,49.76,28.89,26.17,24.7,46.0,47.15
sens_glute_scale_02_m,male,glute_scale,cc embed morphs/embed_torso1,-0.6,179.01,46.89,32.32,87.02,74.82,83.92,31.14,25.64,20.57,49.42,28.75,26.43,24.68,45.94,47.15
