char_id,gender,morph_key,morph_id,morph_value
sens_baseline_f,female,baseline,,0.0
sens_body_fat_00_f,female,body_fat,cc embed morphs/embed_full_body3,0.0
sens_body_fat_01_f,female,body_fat,cc embed morphs/embed_full_body3,0.1
sens_body_fat_02_f,female,body_fat,cc embed morphs/embed_full_body3,0.2
sens_body_fat_03_f,female,body_fat,cc embed morphs/embed_full_body3,0.3
sens_body_fat_04_f,female,body_fat,cc embed morphs/embed_full_body3,0.4
sens_body_fat_05_f,female,body_fat,cc embed morphs/embed_full_body3,0.5
sens_body_fat_06_f,female,body_fat,cc embed morphs/embed_full_body3,0.6
sens_body_fat_07_f,female,body_fat,cc embed morphs/embed_full_body3,0.7
sens_body_fat_08_f,female,body_fat,cc embed morphs/embed_full_body3,0.8
sens_body_fat_09_f,female,body_fat,cc embed morphs/embed_full_body3,0.9
sens_body_fat_10_f,female,body_fat,cc embed morphs/embed_full_body3,1.0
sens_body_thin_00_f,female,body_thin,cc embed morphs/embed_full_body5,0.0
sens_body_thin_01_f,female,body_thin,cc embed morphs/embed_full_body5,0.1
sens_body_thin_02_f,female,body_thin,cc embed morphs/embed_full_body5,0.2
sens_body_thin_03_f,female,body_thin,cc embed morphs/embed_full_body5,0.3
sens_body_thin_04_f,female,body_thin,cc embed morphs/embed_full_body5,0.4
sens_body_thin_05_f,female,body_thin,cc embed morphs/embed_full_body5,0.5
sens_body_thin_06_f,female,body_thin,cc embed morphs/embed_full_body5,0.6
sens_body_thin_07_f,female,body_thin,cc embed morphs/embed_full_body5,0.7
sens_body_thin_08_f,female,body_thin,cc embed morphs/embed_full_body5,0.8
sens_body_thin_09_f,female,body_thin,cc embed morphs/embed_full_body5,0.9
sens_body_thin_10_f,female,body_thin,cc embed morphs/embed_full_body5,1.0
sens_body_muscular_00_f,female,body_muscular,cc embed morphs/embed_full_body6,0.0
sens_body_muscular_01_f,female,body_muscular,cc embed morphs/embed_full_body6,0.1
sens_body_muscular_02_f,female,body_muscular,cc embed morphs/embed_full_body6,0.2
sens_body_muscular_03_f,female,body_muscular,cc embed morphs/embed_full_body6,0.3
sens_body_muscular_04_f,female,body_muscular,cc embed morphs/embed_full_body6,0.4
sens_body_muscular_05_f,female,body_muscular,cc embed morphs/embed_full_body6,0.5
sens_body_muscular_06_f,female,body_muscular,cc embed morphs/embed_full_body6,0.6
sens_body_muscular_07_f,female,body_muscular,cc embed morphs/embed_full_body6,0.7
sens_body_muscular_08_f,female,body_muscular,cc embed morphs/embed_full_body6,0.8
sens_body_muscular_09_f,female,body_muscular,cc embed morphs/embed_full_body6,0.9
sens_body_muscular_10_f,female,body_muscular,cc embed morphs/embed_full_body6,1.0
sens_body_builder_00_f,female,body_builder,cc embed morphs/embed_full_body1,0.0
sens_body_builder_01_f,female,body_builder,cc embed morphs/embed_full_body1,0.1
sens_body_builder_02_f,female,body_builder,cc embed morphs/embed_full_body1,0.2
sens_body_builder_03_f,female,body_builder,cc embed morphs/embed_full_body1,0.3
sens_body_builder_04_f,female,body_builder,cc embed morphs/embed_full_body1,0.4
sens_body_builder_05_f,female,body_builder,cc embed morphs/embed_full_body1,0.5
sens_body_builder_06_f,female,body_builder,cc embed morphs/embed_full_body1,0.6
sens_body_builder_07_f,female,body_builder,cc embed morphs/embed_full_body1,0.7
sens_body_builder_08_f,female,body_builder,cc embed morphs/embed_full_body1,0.8
sens_body_builder_09_f,female,body_builder,cc embed morphs/embed_full_body1,0.9
sens_body_builder_10_f,female,body_builder,cc embed morphs/embed_full_body1,1.0
sens_shoulder_scale_00_f,female,shoulder_scale,cc embed morphs/embed_arm101,-0.5
sens_shoulder_scale_01_f,female,shoulder_scale,cc embed morphs/embed_arm101,-0.35
sens_shoulder_scale_02_f,female,shoulder_scale,cc embed morphs/embed_arm101,-0.2
sens_shoulder_scale_03_f,female,shoulder_scale,cc embed morphs/embed_arm101,-0.05
sens_shoulder_scale_04_f,female,shoulder_scale,cc embed morphs/embed_arm101,0.1
sens_shoulder_scale_05_f,female,shoulder_scale,cc embed morphs/embed_arm101,0.25
sens_shoulder_scale_06_f,female,shoulder_scale,cc embed morphs/embed_arm101,0.4
sens_shoulder_scale_07_f,female,shoulder_scale,cc embed morphs/embed_arm101,0.55
sens_shoulder_scale_08_f,female,shoulder_scale,cc embed morphs/embed_arm101,0.7
sens_shoulder_scale_09_f,female,shoulder_scale,cc embed morphs/embed_arm101,0.85
sens_shoulder_scale_10_f,female,shoulder_scale,cc embed morphs/embed_arm101,1.0
sens_upperarm_scale_00_f,female,upperarm_scale,cc embed morphs/embed_arm3,-1.0
sens_upperarm_scale_01_f,female,upperarm_scale,cc embed morphs/embed_arm3,-0.8
sens_upperarm_scale_02_f,female,upperarm_scale,cc embed morphs/embed_arm3,-0.6
sens_upperarm_scale_03_f,female,upperarm_scale,cc embed morphs/embed_arm3,-0.4
sens_upperarm_scale_04_f,female,upperarm_scale,cc embed morphs/embed_arm3,-0.2
sens_upperarm_scale_05_f,female,upperarm_scale,cc embed morphs/embed_arm3,0.0
sens_upperarm_scale_06_f,female,upperarm_scale,cc embed morphs/embed_arm3,0.2
sens_upperarm_scale_07_f,female,upperarm_scale,cc embed morphs/embed_arm3,0.4
sens_upperarm_scale_08_f,female,upperarm_scale,cc embed morphs/embed_arm3,0.6
sens_upperarm_scale_09_f,female,upperarm_scale,cc embed morphs/embed_arm3,0.8
sens_upperarm_scale_10_f,female,upperarm_scale,cc embed morphs/embed_arm3,1.0
sens_upperarm_len_00_f,female,upperarm_len,cc embed morphs/embed_arm4,-1.0
sens_upperarm_len_01_f,female,upperarm_len,cc embed morphs/embed_arm4,-0.8
sens_upperarm_len_02_f,female,upperarm_len,cc embed morphs/embed_arm4,-0.6
sens_upperarm_len_03_f,female,upperarm_len,cc embed morphs/embed_arm4,-0.4
sens_upperarm_len_04_f,female,upperarm_len,cc embed morphs/embed_arm4,-0.2
sens_upperarm_len_05_f,female,upperarm_len,cc embed morphs/embed_arm4,0.0
sens_upperarm_len_06_f,female,upperarm_len,cc embed morphs/embed_arm4,0.2
sens_upperarm_len_07_f,female,upperarm_len,cc embed morphs/embed_arm4,0.4
sens_upperarm_len_08_f,female,upperarm_len,cc embed morphs/embed_arm4,0.6
sens_upperarm_len_09_f,female,upperarm_len,cc embed morphs/embed_arm4,0.8
sens_upperarm_len_10_f,female,upperarm_len,cc embed morphs/embed_arm4,1.0
sens_forearm_scale_00_f,female,forearm_scale,cc embed morphs/embed_arm2,-1.0
sens_forearm_scale_01_f,female,forearm_scale,cc embed morphs/embed_arm2,-0.8
sens_forearm_scale_02_f,female,forearm_scale,cc embed morphs/embed_arm2,-0.6
sens_forearm_scale_03_f,female,forearm_scale,cc embed morphs/embed_arm2,-0.4
sens_forearm_scale_04_f,female,forearm_scale,cc embed morphs/embed_arm2,-0.2
sens_forearm_scale_05_f,female,forearm_scale,cc embed morphs/embed_arm2,0.0
sens_forearm_scale_06_f,female,forearm_scale,cc embed morphs/embed_arm2,0.2
sens_forearm_scale_07_f,female,forearm_scale,cc embed morphs/embed_arm2,0.4
sens_forearm_scale_08_f,female,forearm_scale,cc embed morphs/embed_arm2,0.6
sens_forearm_scale_09_f,female,forearm_scale,cc embed morphs/embed_arm2,0.8
sens_forearm_scale_10_f,female,forearm_scale,cc embed morphs/embed_arm2,1.0
sens_forearm_len_00_f,female,forearm_len,cc embed morphs/embed_arm5,-1.0
